Code,MetroArea
00460,"Appleton-Oshkosh-Neenah, WI"
03000,"Grand Rapids-Muskegon-Holland, MI"
03160,"Greenville-Spartanburg-Anderson, SC"
03610,"Jamestown, NY"
03720,"Kalamazoo-Battle Creek, MI"
06450,"Portsmouth-Rochester, NH-ME"
10420,"Akron, OH"
10500,"Albany, GA"
10580,"Albany-Schenectady-Troy, NY"
10740,"Albuquerque, NM"
10900,"Allentown-Bethlehem-Easton, PA-NJ"
11020,"Altoona, PA"
11100,"Amarillo, TX"
11300,"Anderson, IN"
11340,"Anderson, SC"
11460,"Ann Arbor, MI"
11500,"Anniston-Oxford, AL"
11540,"Appleton,WI"
11700,"Asheville, NC"
12020,"Athens-Clark County, GA"
12060,"Atlanta-Sandy Springs-Marietta, GA"
12100,"Atlantic City, NJ"
12260,"Augusta-Richmond County, GA-SC"
12420,"Austin-Round Rock, TX"
12540,"Bakersfield, CA"
12580,"Baltimore-Towson, MD"
12940,"Baton Rouge, LA"
13140,"Beaumont-Port Author, TX"
13380,"Bellingham, WA"
13460,"Bend, OR"
13740,"Billings, MT"
13780,"Binghamton, NY"
13820,"Birmingham-Hoover, AL"
14020,"Bloomington, IN"
14060,Bloomington-Normal IL
14260,"Boise City-Nampa, ID"
14500,"Boulder, CO"
14540,"Bowling Green, KY"
14740,"Bremerton-Silverdale, WA"
15180,"Brownsville-Harlingen, TX"
15380,"Buffalo-Niagara Falls, NY"
15940,"Canton-Massillon, OH"
15980,"Cape Coral-Fort Myers, FL"
16300,"Cedar Rapids, IA"
16580,"Champaign-Urbana, IL"
16620,"Charleston, WV"
16700,"Charleston-North Charleston, SC"
16740,"Charlotte-Gastonia-Concord, NC-SC"
16860,"Chattanooga, TN-GA"
16980,"Chicago-Naperville-Joliet, IN-IN-WI"
17020,"Chico, CA"
17140,"Cincinnati-Middletown, OH-KY-IN"
17460,"Cleveland-Elyria-Mentor, OH"
17660,"Coeur d'Alene, ID"
17820,"Colorado Springs, CO"
17860,"Columbia, MO"
17900,"Columbia, SC"
17980,"Columbus, GA-AL"
18140,"Columbus, OH"
18580,"Corpus Christi, TX"
19100,"Dallas-Fort Worth-Arlington, TX"
19340,"Davenport-Moline-Rock Island, IA-IL"
19380,"Dayton, OH"
19460,"Decatur, Al"
19500,"Decatur, IL"
19660,"Deltona-Daytona Beach-Ormond Beach, FL"
19740,"Denver-Aurora, CO"
19780,"Des Moines, IA"
19820,"Detroit-Warren-Livonia, MI"
20100,"Dover, DE"
20260,"Duluth, MN-WI"
20500,"Durham, NC"
20740,"Eau Claire, WI"
20940,"El Centro, CA"
21340,"El Paso, TX"
21500,"Erie, PA"
21660,"Eugene-Springfield, OR"
21780,"Evansville, IN-KY"
22020,"Fargo, ND-MN"
22140,"Farmington, NM"
22180,"Fayetteville, NC"
22220,"Fayetteville-Springdale-Rogers, AR-MO"
22420,"Flint, MI"
22460,"Florence, AL"
22660,"Fort Collins-Loveland, CO"
22900,"Fort Smith, AR-OK"
23020,"Fort Walton Beach-Crestview-Destin, FL"
23060,"Fort Wayne, IN"
23420,"Fresno, CA"
23540,"Gainesville, FL"
24340,"Grand Rapids-Wyoming, MI"
24540,"Greeley, CO"
24580,"Green Bay, WI"
24660,"Greensboro-High Point, NC"
24860,"Greenville, SC"
25060,"Gulfport-Biloxi, MS"
25180,"Hagerstown-Martinsburg, MD-WV"
25420,"Harrisburg-Carlisle, PA"
25500,"Harrisonburg, VA"
25860,"Hickory-Morgantown-Lenoir, NC"
25980,"Hinesville-Fort Stewart, GA"
26100,"Holland-Grand Haven, MI"
26180,"Honolulu, HI"
26420,"Houston-Baytown-Sugar Land, TX"
26580,"Huntington-Ashland, WV-KY-OH"
26620,"Huntsville, AL"
26900,"Indianapolis, IN"
26980,"Iowa City, IA"
