"Internet.Use","Smartphone","Sex","Age","State","Region","Conservativeness","Info.On.Internet","Worry.About.Info","Privacy.Importance","Anonymity.Possible","Tried.Masking.Identity","Privacy.Laws.Effective"
1,0,"Male",62,"Massachusetts","Northeast",4,0,1,100,0,0,0
1,0,"Male",45,"South Carolina","South",1,1,0,0,1,0,1
0,1,"Female",70,"New Jersey","Northeast",4,0,0,NA,0,0,NA
1,0,"Male",70,"Georgia","South",4,3,1,88.8888888888889,1,0,0
0,NA,"Female",80,"Georgia","South",4,NA,NA,NA,NA,NA,NA
1,1,"Male",49,"Tennessee","South",4,6,0,88.8888888888889,1,1,0
1,0,"Female",52,"Michigan","Midwest",3,3,1,33.3333333333333,0,0,1
0,0,"Female",76,"New York","Northeast",3,NA,NA,NA,NA,NA,NA
0,NA,"Male",75,"North Carolina","South",4,NA,NA,NA,NA,NA,0
1,0,"Female",76,"North Carolina","South",4,0,0,56.25,1,0,1
0,0,"Male",69,"Ohio","Midwest",4,NA,NA,NA,NA,NA,0
1,1,"Female",50,"Virginia","South",3,1,0,27.7777777777778,0,0,0
0,0,"Male",72,"New York","Northeast",5,NA,NA,NA,NA,NA,1
1,1,"Female",47,"North Carolina","South",3,0,0,0,1,0,0
1,0,"Male",69,"New York","Northeast",3,9,0,77.7777777777778,0,0,0
0,0,"Male",63,"Ohio","Midwest",3,NA,NA,NA,NA,NA,0
1,0,"Male",41,"Georgia","South",NA,0,1,50,NA,0,0
0,0,"Male",63,"New York","Northeast",3,NA,NA,NA,NA,NA,0
1,0,"Female",91,"Indiana","Midwest",5,5,1,71.4285714285714,NA,0,0
0,NA,"Female",80,"Minnesota","Midwest",5,NA,NA,NA,NA,NA,NA
1,1,"Female",56,"Texas","South",4,0,0,100,0,0,1
1,0,"Male",66,"Alabama","South",5,2,0,16.6666666666667,1,0,0
1,0,"Female",61,"Louisiana","South",3,1,0,100,0,0,0
1,0,"Female",36,"North Dakota","Midwest",5,0,0,100,0,1,0
0,0,"Female",73,"Wisconsin","Midwest",NA,NA,NA,NA,NA,NA,0
0,0,"Female",78,"Michigan","Midwest",3,NA,NA,NA,NA,NA,0
1,0,"Female",58,"Texas","South",5,1,0,50,0,0,0
0,0,"Male",64,"Missouri","Midwest",2,NA,NA,NA,NA,NA,0
1,0,"Male",53,"Illinois","Midwest",4,0,0,85.7142857142857,1,0,0
0,0,"Female",80,"Nebraska","Midwest",2,NA,NA,NA,NA,NA,1
1,1,"Female",48,"Georgia","South",4,1,1,100,0,1,0
1,0,"Female",78,"Wisconsin","Midwest",2,5,1,80,1,1,NA
0,0,"Male",67,"Indiana","Midwest",3,NA,NA,NA,NA,NA,0
1,1,"Female",41,"Wisconsin","Midwest",5,0,1,88.8888888888889,0,0,0
1,0,"Female",74,"Florida","South",3,0,0,6.25,0,0,0
0,0,"Female",62,"Texas","South",4,NA,NA,NA,NA,NA,0
1,1,"Male",60,"Pennsylvania","Northeast",1,9,0,77.7777777777778,0,0,0
0,0,"Female",75,"Texas","South",1,NA,NA,NA,NA,NA,0
0,0,"Female",70,"Florida","South",3,NA,NA,NA,NA,NA,0
0,0,"Female",67,"Pennsylvania","Northeast",5,NA,NA,NA,NA,NA,1
1,1,"Female",44,"Tennessee","South",3,0,1,100,0,0,0
0,0,"Female",73,"Minnesota","Midwest",4,NA,NA,NA,NA,NA,0
0,0,"Female",87,"Texas","South",5,NA,NA,NA,NA,NA,NA
1,0,"Male",66,"Minnesota","Midwest",2,5,1,88.8888888888889,0,0,0
1,0,"Male",65,"North Carolina","South",4,5,1,64.2857142857143,0,0,0
1,0,"Male",86,"Vermont","Northeast",5,1,0,33.3333333333333,0,0,NA
0,0,"Male",39,"Pennsylvania","Northeast",5,NA,NA,NA,NA,NA,0
1,1,"Female",51,"North Carolina","South",3,8,0,100,0,0,0
1,1,"Male",68,"South Dakota","Midwest",4,0,1,83.3333333333333,1,0,0
1,1,"Female",56,"Alabama","South",4,4,1,100,NA,0,0
0,0,"Female",54,"Ohio","Midwest",3,NA,NA,NA,NA,NA,0
1,0,"Female",78,"Kansas","Midwest",3,1,0,0,NA,0,NA
1,1,"Female",36,"Pennsylvania","Northeast",3,3,0,61.1111111111111,0,0,1
1,1,"Female",33,"Utah","West",4,4,1,42.8571428571429,NA,0,NA
1,0,"Female",57,"Missouri","Midwest",4,7,1,38.8888888888889,1,0,0
1,1,"Male",42,"New Jersey","Northeast",2,6,1,50,0,0,1
1,1,"Male",76,"Ohio","Midwest",1,3,1,100,0,0,0
1,1,"Male",49,"Maryland","South",3,2,0,61.1111111111111,1,0,1
0,0,"Female",69,"Colorado","West",4,NA,NA,NA,NA,NA,1
1,0,"Male",70,"Utah","West",5,4,0,38.8888888888889,0,1,1
1,0,"Female",64,"Maryland","South",2,5,0,14.2857142857143,0,0,1
1,0,"Male",38,"Arkansas","South",4,1,0,85.7142857142857,0,0,0
1,0,"Male",45,"Wisconsin","Midwest",4,5,1,83.3333333333333,0,1,0
0,0,"Female",91,"Massachusetts","Northeast",NA,NA,NA,NA,NA,NA,0
0,0,"Male",62,"Mississippi","South",5,NA,NA,NA,NA,NA,1
1,0,"Female",62,"Pennsylvania","Northeast",4,4,1,11.1111111111111,0,0,0
1,0,"Male",18,"New Mexico","West",5,6,1,44.4444444444444,0,0,0
1,0,"Male",18,"Utah","West",NA,0,0,72.2222222222222,0,0,1
1,1,"Female",52,"Pennsylvania","Northeast",5,7,0,50,0,0,NA
0,0,"Female",51,"Louisiana","South",5,NA,NA,NA,NA,NA,0
1,1,"Male",64,"New Mexico","West",3,0,0,55.5555555555556,0,0,0
0,0,"Female",76,"Pennsylvania","Northeast",3,NA,NA,NA,NA,NA,0
0,0,"Female",62,"Texas","South",4,NA,NA,NA,NA,NA,0
0,0,"Female",NA,"Michigan","Midwest",5,NA,NA,NA,NA,NA,0
0,0,"Male",69,"New York","Northeast",2,NA,NA,NA,NA,NA,1
0,0,"Female",85,"Georgia","South",3,NA,NA,NA,NA,NA,0
1,0,"Female",62,"South Carolina","South",NA,0,1,100,NA,0,NA
1,1,"Female",60,"Kentucky","South",5,2,1,100,0,1,0
1,1,"Male",NA,"Utah","West",4,6,0,72.2222222222222,0,0,1
1,0,"Male",21,"Florida","South",3,8,1,0,1,0,0
1,1,"Male",50,"Kansas","Midwest",4,2,0,50,1,0,NA
1,1,"Female",39,"North Carolina","South",1,2,0,50,1,0,1
1,0,"Female",60,"Iowa","Midwest",NA,0,0,22.2222222222222,1,0,0
0,0,"Female",63,"Wisconsin","Midwest",1,NA,NA,NA,NA,NA,0
1,0,"Male",52,"Minnesota","Midwest",4,1,0,100,0,0,NA
1,1,"Male",57,"New York","Northeast",3,6,0,44.4444444444444,0,0,0
0,0,"Male",75,"Texas","South",3,NA,NA,NA,NA,NA,NA
1,0,"Female",83,"Texas","South",3,7,1,88.8888888888889,1,0,0
1,0,"Female",81,"Michigan","Midwest",4,0,0,0,1,0,0
1,0,"Male",63,"New Hampshire","Northeast",NA,3,0,88.8888888888889,0,1,0
1,1,"Male",78,"Indiana","Midwest",5,0,0,6.25,1,0,0
0,0,"Female",NA,"Vermont","Northeast",NA,NA,NA,NA,NA,NA,0
1,1,"Female",74,"Wisconsin","Midwest",4,4,1,62.5,1,0,0
1,0,"Male",69,"Arizona","West",4,0,1,43.75,0,0,1
1,0,"Male",67,"California","West",2,0,0,88.8888888888889,0,NA,0
1,0,"Male",42,"Arizona","West",2,3,0,16.6666666666667,0,0,1
1,0,"Female",68,"Alabama","South",5,2,1,100,0,0,0
1,1,"Male",56,"Georgia","South",4,0,0,85.7142857142857,1,1,0
0,0,"Male",70,"Virginia","South",4,NA,NA,NA,NA,NA,0
1,0,"Female",83,"California","West",3,2,1,44.4444444444444,NA,0,0
1,0,"Female",72,"New Jersey","Northeast",4,5,1,43.75,NA,0,0
0,0,"Female",72,"New York","Northeast",3,NA,NA,NA,NA,NA,1
1,1,"Female",23,"Maryland","South",4,4,0,11.1111111111111,1,0,0
1,0,"Male",43,"Virginia","South",3,0,1,100,0,0,0
1,1,"Female",62,"California","West",5,7,0,22.2222222222222,0,0,1
1,0,"Female",60,"Michigan","Midwest",4,0,0,50,0,0,0
0,0,"Male",72,"North Carolina","South",4,NA,NA,NA,NA,NA,NA
1,0,"Female",19,"California","West",2,2,1,16.6666666666667,0,0,1
1,1,"Male",67,"Indiana","Midwest",3,1,1,100,0,1,0
1,0,"Male",63,"New York","Northeast",4,1,1,100,0,0,0
1,0,"Female",77,"Florida","South",3,0,0,81.25,0,0,NA
1,0,"Female",60,"Texas","South",3,5,0,50,0,1,0
0,0,"Female",24,"Tennessee","South",2,NA,NA,NA,NA,NA,1
1,0,"Female",81,"California","West",4,0,0,100,1,0,1
1,0,"Female",64,"Oregon","West",2,1,1,61.1111111111111,0,0,NA
1,1,"Female",50,"Indiana","Midwest",3,6,1,100,0,1,0
1,0,"Male",75,"Oregon","West",5,2,0,16.6666666666667,NA,0,1
0,0,"Male",84,"California","West",2,NA,NA,NA,NA,NA,NA
1,0,"Female",64,"Washington","West",2,7,0,5.55555555555556,0,0,NA
1,1,"Male",56,"Oregon","West",4,5,0,22.2222222222222,0,0,0
1,1,"Female",55,"California","West",3,6,1,61.1111111111111,0,0,1
1,0,"Male",53,"Oregon","West",5,0,1,80,1,0,0
1,0,"Female",49,"Connecticut","Northeast",3,2,0,50,0,0,1
1,1,"Male",39,"South Carolina","South",2,4,0,88.8888888888889,1,1,0
1,1,"Female",NA,"New Jersey","Northeast",1,9,0,88.8888888888889,0,1,0
1,0,"Female",71,"California","West",5,3,1,75,NA,1,1
1,0,"Female",49,"California","West",4,3,1,100,0,0,0
1,1,"Male",56,"California","West",3,2,1,68.75,0,0,NA
0,NA,"Male",74,"California","West",3,NA,NA,NA,NA,NA,0
1,0,"Female",71,"Washington","West",3,4,1,75,0,0,0
1,1,"Female",37,"Washington","West",3,4,1,72.2222222222222,0,0,0
0,0,"Male",68,"Arkansas","South",NA,NA,NA,NA,NA,NA,0
1,1,"Female",38,"Kansas","Midwest",2,5,0,66.6666666666667,0,0,0
1,1,"Male",43,"Tennessee","South",4,8,1,88.8888888888889,0,0,0
1,1,"Male",30,"Wisconsin","Midwest",5,5,0,11.1111111111111,0,0,1
1,1,"Female",41,"Texas","South",3,2,1,94.4444444444444,0,0,0
0,0,"Male",66,"Missouri","Midwest",5,NA,NA,NA,NA,NA,0
0,0,"Male",70,"Wisconsin","Midwest",4,NA,NA,NA,NA,NA,0
1,1,"Female",52,"Iowa","Midwest",2,5,1,27.7777777777778,1,0,1
0,1,"Male",41,"Oklahoma","South",3,0,0,11.1111111111111,0,0,0
0,0,"Male",53,"Wisconsin","Midwest",4,NA,NA,NA,NA,NA,0
1,1,"Female",36,"Missouri","Midwest",1,9,1,94.4444444444444,0,0,0
0,0,"Female",75,"Illinois","Midwest",3,NA,NA,NA,NA,NA,0
1,0,"Female",54,"Washington","West",5,5,0,61.1111111111111,0,0,1
0,NA,"Female",85,"Colorado","West",3,NA,NA,NA,NA,NA,1
