Date,StockPrice
1/1/70,27.85380952
2/1/70,22.38105263
3/1/70,23.1052381
4/1/70,21.57136364
5/1/70,18.93285714
6/1/70,15.44318182
7/1/70,13.65590909
8/1/70,13.3352381
9/1/70,17.38952381
10/1/70,15.90954545
11/1/70,13.9705
12/1/70,14.35454545
1/1/71,17.3425
2/1/71,21.85894737
3/1/71,22.06347826
4/1/71,22.31904762
5/1/71,23.5165
6/1/71,21.23045455
7/1/71,18.21714286
8/1/71,16.165
9/1/71,15.51904762
10/1/71,16.26190476
11/1/71,14.8
12/1/71,18.00363636
1/1/72,23.1347619
2/1/72,25.2665
3/1/72,23.28227273
4/1/72,23.7355
5/1/72,21.64454545
6/1/72,21.475
7/1/72,22.116
8/1/72,22.52391304
9/1/72,22.4165
10/1/72,22.1
11/1/72,23.285
12/1/72,25.42473684
1/1/73,24.80761905
2/1/73,22.70210526
3/1/73,21.43545455
4/1/73,19.4285
5/1/73,19.03136364
6/1/73,17.3552381
7/1/73,18.49142857
8/1/73,18.05130435
9/1/73,18.26789474
10/1/73,19.20956522
11/1/73,17.14904762
12/1/73,13.091
1/1/74,12.73636364
2/1/74,13.73368421
3/1/74,14.81714286
4/1/74,14.55571429
5/1/74,16.46
6/1/74,17.724
7/1/74,16.69227273
8/1/74,18.44727273
9/1/74,17.3975
10/1/74,16.69304348
11/1/74,18.5965
12/1/74,16.35666667
1/1/75,16.35
2/1/75,17.26052632
3/1/75,20.561
4/1/75,22.25363636
5/1/75,27.89095238
6/1/75,30.00333333
7/1/75,29.26545455
8/1/75,25.76
9/1/75,26.3252381
10/1/75,28.14956522
11/1/75,24.93263158
12/1/75,23.725
1/1/76,27.1752381
2/1/76,26.94526316
3/1/76,26.53608696
4/1/76,27.68238095
5/1/76,34.013
6/1/76,36.58863636
7/1/76,40.02
8/1/76,41.46818182
9/1/76,42.94904762
10/1/76,42.35904762
11/1/76,42.5145
12/1/76,44.47409091
1/1/77,41.46
2/1/77,40.59473684
3/1/77,43.73086957
4/1/77,44.6385
5/1/77,51.77619048
6/1/77,56.08318182
7/1/77,57.31789474
8/1/77,57.6
9/1/77,36.23714286
10/1/77,25.34904762
11/1/77,27.33666667
12/1/77,28.03333333
1/1/78,26.15142857
2/1/78,29.32578947
3/1/78,33.67727273
4/1/78,36.8895
5/1/78,47.27409091
6/1/78,51.46818182
7/1/78,57.5275
8/1/78,70.1873913
9/1/78,68.3295
10/1/78,63.11954545
11/1/78,62.65619048
12/1/78,71.56
1/1/79,76.09909091
2/1/79,69.95157895
3/1/79,65.81636364
4/1/79,53.025
5/1/79,39.85954545
6/1/79,41.77047619
7/1/79,41.00761905
8/1/79,46.21391304
9/1/79,48.21263158
10/1/79,45.01826087
11/1/79,44.06761905
12/1/79,48.784
1/1/80,60.26818182
2/1/80,63.694
3/1/80,57.2347619
4/1/80,44.60285714
5/1/80,33.94238095
6/1/80,35.60952381
7/1/80,38.15545455
8/1/80,38.10428571
9/1/80,39.28761905
10/1/80,37.92565217
11/1/80,38.54333333
12/1/80,39.16181818
1/1/81,41.47952381
2/1/81,36.19947368
3/1/81,34.92727273
4/1/81,34.68095238
5/1/81,32.5695
6/1/81,31.22045455
7/1/81,29.15090909
8/1/81,26.53285714
9/1/81,24.33142857
10/1/81,25.45181818
11/1/81,23.904
12/1/81,23.11681818
1/1/82,21.5215
2/1/82,19.84631579
3/1/82,18.38304348
4/1/82,18.86666667
5/1/82,19.0785
6/1/82,16.02363636
7/1/82,16.5947619
8/1/82,18.935
9/1/82,23.16952381
10/1/82,24.11666667
11/1/82,29.00952381
12/1/82,33.20045455
1/1/83,35.06238095
2/1/83,36.51473684
3/1/83,38.01913043
4/1/83,40.578
5/1/83,37.91904762
6/1/83,44.95727273
7/1/83,45.0155
8/1/83,39.48043478
9/1/83,41.10333333
10/1/83,39.57380952
11/1/83,41.28238095
12/1/83,45.40809524
1/1/84,47.03190476
2/1/84,42.777
3/1/84,39.47363636
4/1/84,37.915
5/1/84,38.395
6/1/84,42.04333333
7/1/84,44.60333333
8/1/84,51.74173913
9/1/84,54.39736842
10/1/84,54.91565217
11/1/84,56.62095238
12/1/84,54.5585
1/1/85,58.16181818
2/1/85,63.94157895
3/1/85,63.26952381
4/1/85,61.32952381
5/1/85,61.62181818
6/1/85,50.0445
7/1/85,47.21863636
8/1/85,48.42818182
9/1/85,46.94368421
10/1/85,45.26347826
11/1/85,47.258
12/1/85,50.63333333
1/1/86,49.20090909
2/1/86,49.46368421
3/1/86,54.484
4/1/86,56.85545455
5/1/86,56.49095238
6/1/86,60.91238095
7/1/86,60.98409091
8/1/86,59.93857143
9/1/86,56.77666667
10/1/86,53.88347826
11/1/86,51.04210526
12/1/86,52.31454545
1/1/87,51.39571429
2/1/87,51.29894737
3/1/87,52.44
4/1/87,49.82857143
5/1/87,44.6015
6/1/87,46.88954545
7/1/87,48.42909091
8/1/87,52.23428571
9/1/87,50.71666667
10/1/87,44.69045455
11/1/87,36.302
12/1/87,36.68454545
1/1/88,42.0635
2/1/88,46.8955
3/1/88,47.48608696
4/1/88,46.4525
5/1/88,50.15714286
6/1/88,56.03045455
7/1/88,58.6395
8/1/88,59.79652174
9/1/88,60.95380952
10/1/88,65.33238095
11/1/88,62.69904762
12/1/88,61.37809524
1/1/89,60.76380952
2/1/89,62.75263158
3/1/89,65.81090909
4/1/89,71.129
5/1/89,78.65636364
6/1/89,59.43863636
7/1/89,50.71
8/1/89,52.92565217
9/1/89,56.64
10/1/89,58.00727273
11/1/89,56.87095238
12/1/89,59.0205
1/1/90,60.22409091
2/1/90,61.94263158
3/1/90,68.71409091
4/1/90,71.6165
5/1/90,76.98636364
6/1/90,66.10857143
7/1/90,59.34238095
8/1/90,50.42565217
9/1/90,45.10842105
10/1/90,45.22434783
11/1/90,44.91952381
12/1/90,45.4775
1/1/91,46.20181818
2/1/91,49.08157895
3/1/91,48.4025
4/1/91,47.26409091
5/1/91,46.63272727
6/1/91,47.752
7/1/91,44.87727273
8/1/91,47.13863636
9/1/91,50.253
10/1/91,49.25826087
11/1/91,47.1345
12/1/91,43.75809524
1/1/92,50.38909091
2/1/92,47.72736842
3/1/92,45.12136364
4/1/92,45.21666667
5/1/92,43.7715
6/1/92,42.88363636
7/1/92,40.03636364
8/1/92,39.19952381
9/1/92,36.34666667
10/1/92,36.64454545
11/1/92,35.302
12/1/92,35.98
1/1/93,37.6455
2/1/93,34.79894737
3/1/93,34.77478261
4/1/93,36.69857143
5/1/93,39.4705
6/1/93,38.81409091
7/1/93,37.61
8/1/93,38.88909091
9/1/93,39.66380952
10/1/93,37.83619048
11/1/93,37.71571429
12/1/93,41.62863636
1/1/94,43.47333333
2/1/94,44.84368421
3/1/94,46.52956522
4/1/94,44.93631579
5/1/94,44.59047619
6/1/94,47.96
7/1/94,46.5185
8/1/94,45.03
9/1/94,44.88952381
10/1/94,43.78809524
11/1/94,44.25952381
12/1/94,47.11666667
1/1/95,47.43761905
2/1/95,46.58052632
3/1/95,48.43782609
4/1/95,54.56210526
5/1/95,55.76318182
6/1/95,62.89363636
7/1/95,64.443
8/1/95,64.77086957
9/1/95,68.91
10/1/95,66.25363636
11/1/95,71.59333333
12/1/95,75.201
1/1/96,77.935
2/1/96,81.16
3/1/96,83.90238095
4/1/96,82.21333333
5/1/96,81.41227273
6/1/96,85.847
7/1/96,87.98
8/1/96,90.99772727
9/1/96,92.01
10/1/96,96.80217391
11/1/96,94.5095
12/1/96,99.98047619
1/1/97,107.0654545
2/1/97,107.28
3/1/97,104.6165
4/1/97,99.55363636
5/1/97,100.1047619
6/1/97,67.99142857
7/1/97,56.825
8/1/97,57.12619048
9/1/97,54.09952381
10/1/97,51.65043478
11/1/97,48.34
12/1/97,50.31363636
1/1/98,45.927
2/1/98,49.52789474
3/1/98,52.12909091
4/1/98,52.98904762
5/1/98,49.2835
6/1/98,44.91363636
7/1/98,45.70818182
8/1/98,36.89714286
9/1/98,34.37285714
10/1/98,34.07454545
11/1/98,41.8535
12/1/98,33.27318182
1/1/99,34.53052632
2/1/99,35.78368421
3/1/99,34.77347826
4/1/99,37.72428571
5/1/99,43.385
6/1/99,42.96863636
7/1/99,45.20714286
8/1/99,45.69409091
9/1/99,43.88190476
10/1/99,43.29952381
11/1/99,42.3947619
12/1/99,39.57363636
1/1/00,44.0765
2/1/00,39.723
3/1/00,35.66565217
4/1/00,37.15210526
5/1/00,37.96454545
6/1/00,39.49636364
7/1/00,45.1925
8/1/00,49.39
9/1/00,59.295
10/1/00,60.64318182
11/1/00,65.8947619
12/1/00,66.583
1/1/01,59.1
2/1/01,59.56842105
3/1/01,58.12227273
4/1/01,58.9215
5/1/01,65.42727273
6/1/01,62.42666667
7/1/01,55.86238095
8/1/01,54.98
9/1/01,38.17866667
10/1/01,34.9726087
11/1/01,34.67952381
12/1/01,37.25
1/1/02,39.6852381
2/1/02,43.17052632
3/1/02,48.022
4/1/02,46.44545455
5/1/02,44.37409091
6/1/02,42.9075
7/1/02,42.00545455
8/1/02,38.55318182
9/1/02,36.197
10/1/02,31.31826087
11/1/02,32.194
12/1/02,32.6647619
1/1/03,32.82857143
2/1/03,29.73842105
3/1/03,26.61095238
4/1/03,27.00809524
5/1/03,29.03238095
6/1/03,34.39809524
7/1/03,33.52136364
8/1/03,33.57904762
9/1/03,35.85333333
10/1/03,36.58391304
11/1/03,38.84473684
12/1/03,39.98227273
1/1/04,42.6375
2/1/04,43.74631579
3/1/04,40.69913043
4/1/04,42.14904762
5/1/04,43.586
6/1/04,48.84904762
7/1/04,49.13142857
8/1/04,50.54181818
9/1/04,53.36380952
10/1/04,50.39809524
11/1/04,52.95380952
12/1/04,53.34363636
1/1/05,50.6745
2/1/05,53.22473684
3/1/05,57.20772727
4/1/05,58.56142857
5/1/05,61.01380952
6/1/05,63.78818182
7/1/05,65.406
8/1/05,66.7273913
9/1/05,64.88
10/1/05,66.88952381
11/1/05,66.81904762
12/1/05,70.47333333
1/1/06,68.878
2/1/06,72.30263158
3/1/06,76.00217391
4/1/06,82.43315789
5/1/06,85.45909091
6/1/06,82.85545455
7/1/06,80.2965
8/1/06,77.12608696
9/1/06,75.903
10/1/06,82.00954545
11/1/06,86.00714286
12/1/06,89.869
1/1/07,87.8615
2/1/07,90.05473684
3/1/07,89.49954545
4/1/07,91.8345
5/1/07,95.41272727
6/1/07,97.57666667
7/1/07,101.8485714
8/1/07,99.26
9/1/07,99.31684211
10/1/07,98.90652174
11/1/07,93.34857143
12/1/07,89.671
1/1/08,80.81666667
2/1/08,83.077
3/1/08,76.258
4/1/08,78.725
5/1/08,84.42142857
6/1/08,74.69952381
7/1/08,65.03681818
8/1/08,64.33380952
9/1/08,60.94380952
10/1/08,47.59869565
11/1/08,43.69473684
12/1/08,40.47363636
1/1/09,42.991
2/1/09,38.95315789
3/1/09,33.24045455
4/1/09,37.53190476
5/1/09,43.5635
6/1/09,47.96863636
7/1/09,41.48272727
8/1/09,45.99428571
9/1/09,51.36285714
10/1/09,51.15909091
11/1/09,50.6965
12/1/09,55.02863636
