Date,StockPrice
1/1/70,83.36809524
2/1/70,81.59105263
3/1/70,81.33809524
4/1/70,76.80590909
5/1/70,69.27857143
6/1/70,72.01545455
7/1/70,71.70818182
8/1/70,69.84380952
9/1/70,72.74285714
10/1/70,78.03818182
11/1/70,81.0105
12/1/70,84.56636364
1/1/71,85.143
2/1/71,86.57105263
3/1/71,91.6073913
4/1/71,97.85
5/1/71,99.2745
6/1/71,102.1409091
7/1/71,101.9390476
8/1/71,103.3736364
9/1/71,107.6419048
10/1/71,109.5057143
11/1/71,108.3980952
12/1/71,115.9481818
1/1/72,117.1419048
2/1/72,123.987
3/1/72,127.5390909
4/1/72,128.756
5/1/72,129.1318182
6/1/72,131.0854545
7/1/72,137.394
8/1/72,143.6252174
9/1/72,136.6945
10/1/72,139.3245455
11/1/72,142.744
12/1/72,146.2631579
1/1/73,146.5842857
2/1/73,143.7705263
3/1/73,144.3131818
4/1/73,140.6505
5/1/73,136.0918182
6/1/73,141.357619
7/1/73,142.5085714
8/1/73,142.436087
9/1/73,143.2594737
10/1/73,143.1634783
11/1/73,138.5433333
12/1/73,122.987
1/1/74,120.5440909
2/1/74,113.2805263
3/1/74,115.4509524
4/1/74,108.8609524
5/1/74,103.7318182
6/1/74,112.9355
7/1/74,98.40136364
8/1/74,78.96409091
9/1/74,65.8625
10/1/74,56.09391304
11/1/74,56.9815
12/1/74,49.96
1/1/75,59.24454545
2/1/75,72.22157895
3/1/75,77.2355
4/1/75,77.56136364
5/1/75,88.52809524
6/1/75,90.10571429
7/1/75,86.86772727
8/1/75,76.53428571
9/1/75,72.76714286
10/1/75,79.20521739
11/1/75,86.01789474
12/1/75,83.82227273
1/1/76,88.97428571
2/1/76,89.07052632
3/1/76,86.55304348
4/1/76,85.45047619
5/1/76,82.104
6/1/76,80.54363636
7/1/76,85.46857143
8/1/76,86.62863636
9/1/76,86.99238095
10/1/76,82.80095238
11/1/76,79.3105
12/1/76,77.18590909
1/1/77,76.04571429
2/1/77,75.93842105
3/1/77,77.47695652
4/1/77,76.6175
5/1/77,74.0152381
6/1/77,37.25727273
7/1/77,38.77210526
8/1/77,39.1926087
9/1/77,39.74
10/1/77,38.62190476
11/1/77,38.00857143
12/1/77,36.99666667
1/1/78,36.01428571
2/1/78,36.31157895
3/1/78,37.53
4/1/78,39.984
5/1/78,42.49090909
6/1/78,42.32636364
7/1/78,41.44
8/1/78,45.08956522
9/1/78,44.659
10/1/78,43.46272727
11/1/78,41.50285714
12/1/78,43.2015
1/1/79,44.94
2/1/79,42.81157895
3/1/79,41.41727273
4/1/79,40.233
5/1/79,38.29227273
6/1/79,39.06142857
7/1/79,37.9852381
8/1/79,39.94826087
9/1/79,38.48210526
10/1/79,35.2626087
11/1/79,33.61
12/1/79,34.596
1/1/80,34.25227273
2/1/80,33.7465
3/1/80,30.05714286
4/1/80,31.27904762
5/1/80,34.16285714
6/1/80,33.52
7/1/80,34.43954545
8/1/80,36.63952381
9/1/80,34.28285714
10/1/80,31.94086957
11/1/80,30.92166667
12/1/80,31.32818182
1/1/81,34.34761905
2/1/81,33.84473684
3/1/81,36.71227273
4/1/81,36.2747619
5/1/81,35.49
6/1/81,36.92863636
7/1/81,33.75090909
8/1/81,33.38952381
9/1/81,31.99904762
10/1/81,34.92227273
11/1/81,35.2215
12/1/81,35.065
1/1/82,33.481
2/1/82,31.59052632
3/1/82,31.82434783
4/1/82,34.05047619
5/1/82,33.752
6/1/82,33.67227273
7/1/82,36.22238095
8/1/82,37.11590909
9/1/82,40.62809524
10/1/82,44.04333333
11/1/82,46.95380952
12/1/82,51.01318182
1/1/83,49.41761905
2/1/83,48.60052632
3/1/83,50.99608696
4/1/83,55.3765
5/1/83,53.52047619
6/1/83,51.55909091
7/1/83,48.94
8/1/83,49.8826087
9/1/83,50.25809524
10/1/83,53.60428571
11/1/83,54.40761905
12/1/83,55.46571429
1/1/84,52.50809524
2/1/84,50.489
3/1/84,53.88454545
4/1/84,54.4265
5/1/84,56.00772727
6/1/84,57.06761905
7/1/84,58.34809524
8/1/84,61.51347826
9/1/84,61.79263158
10/1/84,63.15217391
11/1/84,63.85714286
12/1/84,61.915
1/1/85,62.76818182
2/1/85,61.58789474
3/1/85,65.83190476
4/1/85,69.27190476
5/1/85,67.49772727
6/1/85,69.385
7/1/85,71.40727273
