Date,StockPrice
1/1/70,74.25333333
2/1/70,69.97684211
3/1/70,72.15857143
4/1/70,74.25272727
5/1/70,66.6652381
6/1/70,67.59318182
7/1/70,72.69636364
8/1/70,76.14666667
9/1/70,80.46285714
10/1/70,84.69181818
11/1/70,86.3295
12/1/70,89.95818182
1/1/71,96.691
2/1/71,104.15
3/1/71,109.9430435
4/1/71,118.4804762
5/1/71,120.598
6/1/71,73.68272727
7/1/71,57.96666667
8/1/71,58.15545455
9/1/71,62.64380952
10/1/71,61.22761905
11/1/71,57.15095238
12/1/71,62.53
1/1/72,63.19809524
2/1/72,60.5085
3/1/72,63.35227273
4/1/72,68.0165
5/1/72,67.69136364
6/1/72,67.12863636
7/1/72,64.687
8/1/72,66.57956522
9/1/72,65.593
10/1/72,63.98318182
11/1/72,66.254
12/1/72,69.20210526
1/1/73,71.97428571
2/1/73,68.66842105
3/1/73,66.20863636
4/1/73,62.8195
5/1/73,59.30863636
6/1/73,58.49095238
7/1/73,59.88238095
8/1/73,60.12217391
9/1/73,60.30315789
10/1/73,65.94913043
11/1/73,64.06
12/1/73,60.2575
1/1/74,62.39454545
2/1/74,56.75315789
3/1/74,54.96571429
4/1/74,54.0252381
5/1/74,49.76409091
6/1/74,49.121
7/1/74,47.05909091
8/1/74,41.43454545
9/1/74,34.6455
10/1/74,35.63782609
11/1/74,36.8895
12/1/74,33.43761905
1/1/75,35.32136364
2/1/75,41.46947368
3/1/75,46.196
4/1/75,45.93954545
5/1/75,46.53857143
6/1/75,47.49666667
7/1/75,50.14454545
8/1/75,44.57380952
9/1/75,44.2752381
10/1/75,47.17608696
11/1/75,48.33210526
12/1/75,46.38772727
1/1/76,51.77619048
2/1/76,53.45684211
3/1/76,52.16565217
4/1/76,53.13333333
5/1/76,51.614
6/1/76,54.45636364
7/1/76,56.99047619
8/1/76,54.83227273
9/1/76,54.71
10/1/76,51.94809524
11/1/76,51.5335
12/1/76,52.62772727
1/1/77,53.60238095
2/1/77,51.13368421
3/1/77,50.79086957
4/1/77,51.5645
5/1/77,54.61571429
6/1/77,55.87772727
7/1/77,55.35842105
8/1/77,54.17043478
9/1/77,53.02619048
10/1/77,50.46714286
11/1/77,51.03857143
12/1/77,49.00238095
1/1/78,46.68761905
2/1/78,46.11368421
3/1/78,46.25772727
4/1/78,48.7965
5/1/78,52.42318182
6/1/78,51.86045455
7/1/78,52.133
8/1/78,55.61130435
9/1/78,53.384
10/1/78,51.33681818
11/1/78,48.69761905
12/1/78,47.696
1/1/79,49.17318182
2/1/79,46.96842105
3/1/79,47.48545455
4/1/79,48.2515
5/1/79,49.41772727
6/1/79,49.54380952
7/1/79,50.47238095
8/1/79,53.28565217
9/1/79,51.47631579
10/1/79,48.87217391
11/1/79,47.02047619
12/1/79,48.3595
1/1/80,53.47454545
2/1/80,53.1705
3/1/80,47.6152381
4/1/80,46.87714286
5/1/80,47.52666667
6/1/80,50.2752381
7/1/80,54.05318182
8/1/80,56.3047619
9/1/80,54.06238095
10/1/80,53.42695652
11/1/80,58.21777778
12/1/80,59.01318182
1/1/81,61.80571429
2/1/81,62.83
3/1/81,66.56
4/1/81,66.83142857
5/1/81,64.6425
6/1/81,65.35090909
7/1/81,61.15
8/1/81,58.49619048
9/1/81,54.23380952
10/1/81,55.40090909
11/1/81,56.659
12/1/81,58.79772727
1/1/82,58.102
2/1/82,61.54263158
3/1/82,61.1226087
4/1/82,64.35571429
5/1/82,63.35
6/1/82,61.70681818
7/1/82,66.61142857
8/1/82,67.89045455
9/1/82,76.09857143
10/1/82,82.14666667
11/1/82,89.7052381
12/1/82,95.03772727
1/1/83,95.75428571
2/1/83,103.3784211
3/1/83,104.9113043
4/1/83,108.1545
5/1/83,108.1352381
6/1/83,57.58227273
7/1/83,52.961
8/1/83,48.52956522
9/1/83,51.16809524
10/1/83,53.44142857
11/1/83,54.54380952
12/1/83,57.37047619
1/1/84,56.76428571
2/1/84,53.302
3/1/84,52.13318182
4/1/84,53.9155
5/1/84,53.985
6/1/84,53.14571429
7/1/84,50.69333333
8/1/84,57.04043478
9/1/84,56.64684211
10/1/84,55.95304348
11/1/84,57.24047619
12/1/84,55.5525
1/1/85,60.04727273
2/1/85,63.34368421
3/1/85,62.04952381
4/1/85,59.68714286
5/1/85,59.79818182
6/1/85,60.915
7/1/85,62.29772727
8/1/85,61.72363636
9/1/85,59.48947368
10/1/85,58.71434783
11/1/85,63.269
12/1/85,68.93142857
1/1/86,69.95181818
2/1/86,74.54421053
3/1/86,76.8415
4/1/86,77.62772727
5/1/86,77.69428571
6/1/86,80.92
7/1/86,76.19727273
8/1/86,75.30714286
9/1/86,74.3247619
10/1/86,74.76913043
11/1/86,78.3
12/1/86,86.40636364
1/1/87,94.15761905
2/1/87,100.8394737
3/1/87,106.6445455
4/1/87,105.2952381
5/1/87,93.2605
6/1/87,54.08181818
7/1/87,56.13954545
8/1/87,62.63714286
9/1/87,60.8952381
10/1/87,53.08136364
11/1/87,44.996
12/1/87,43.82636364
1/1/88,44.8775
2/1/88,43.4155
3/1/88,43.25304348
4/1/88,40.7965
5/1/88,39.91904762
6/1/88,43.16090909
7/1/88,42.8835
8/1/88,40.61086957
9/1/88,42.29428571
