Date,StockPrice
1/1/70,360.3190476
2/1/70,346.7236842
3/1/70,327.3457143
4/1/70,319.8527273
5/1/70,270.3752381
6/1/70,267.205
7/1/70,252.5968182
8/1/70,247.357619
9/1/70,274.857619
10/1/70,294.4663636
11/1/70,296.4255
12/1/70,314.5340909
1/1/71,316.4505
2/1/71,333.8689474
3/1/71,351.9078261
4/1/71,357.0538095
5/1/71,343.325
6/1/71,319.0290909
7/1/71,304.6547619
8/1/71,302.3977273
9/1/71,304.2442857
10/1/71,305.4052381
11/1/71,296.8752381
12/1/71,327.1818182
1/1/72,350.6904762
2/1/72,369.9315
3/1/72,378.08
4/1/72,389.025
5/1/72,389.9204545
6/1/72,394.8468182
7/1/72,396.0125
8/1/72,413.7173913
9/1/72,400.1375
10/1/72,388.625
11/1/72,384.238
12/1/72,395.7631579
1/1/73,424.5061905
2/1/73,438.9015789
3/1/73,437.4040909
4/1/73,423.725
5/1/73,393.8754545
6/1/73,317.53
7/1/73,312.3452381
8/1/73,303.8478261
9/1/73,278.4873684
10/1/73,274.5056522
11/1/73,277.2085714
12/1/73,252.0065
1/1/74,241.1081818
2/1/74,234.9278947
3/1/74,244.1728571
4/1/74,231.042381
5/1/74,221.7054545
6/1/74,220.019
7/1/74,210.9377273
8/1/74,199.6254545
9/1/74,169.394
10/1/74,175.5769565
11/1/74,181.57
12/1/74,168.4233333
1/1/75,168.1545455
2/1/75,206.4747368
3/1/75,213.932
4/1/75,206.3586364
5/1/75,214.7038095
6/1/75,211.1261905
7/1/75,201.6036364
8/1/75,182.292381
9/1/75,184.5661905
10/1/75,205.9304348
11/1/75,219.62
12/1/75,219.2863636
1/1/76,241.0014286
2/1/76,257.9542105
3/1/76,259.7073913
4/1/76,261.8880952
5/1/76,252.9315
6/1/76,262.7677273
7/1/76,274.9052381
8/1/76,274.7572727
9/1/76,281.0014286
10/1/76,269.9352381
11/1/76,267.1505
12/1/76,271.7959091
1/1/77,272.3690476
2/1/77,272.3752632
3/1/77,280.86
4/1/77,270.1505
5/1/77,253.5547619
6/1/77,256.4795455
7/1/77,266.6331579
8/1/77,268.0286957
9/1/77,261.9538095
10/1/77,258.162381
11/1/77,258.5552381
12/1/77,265.2571429
1/1/78,267.1147619
2/1/78,258.2178947
3/1/78,242.5472727
4/1/78,247.6765
5/1/78,263.2513636
6/1/78,265.0127273
7/1/78,265.376
8/1/78,291.1530435
9/1/78,290.282
10/1/78,278.4268182
11/1/78,265.12
12/1/78,281.502
1/1/79,308.825
2/1/79,304.7578947
3/1/79,309.6777273
4/1/79,313.6135
5/1/79,309.3363636
6/1/79,75.2352381
7/1/79,70.61666667
8/1/79,70.16086957
9/1/79,68.16894737
10/1/79,65.15652174
11/1/79,62.82285714
12/1/79,65.235
1/1/80,67.77136364
2/1/80,67.0855
3/1/80,59.28333333
4/1/80,53.65666667
5/1/80,53.87809524
6/1/80,58.13380952
7/1/80,63.35681818
8/1/80,66.27809524
9/1/80,66.17047619
10/1/80,67.53608696
11/1/80,69.46277778
12/1/80,66.595
1/1/81,66.75380952
2/1/81,62.94789474
3/1/81,63.06409091
4/1/81,60.68095238
5/1/81,57.0535
6/1/81,58.74136364
7/1/81,56.15681818
8/1/81,56.9547619
9/1/81,54.6752381
10/1/81,52.74090909
11/1/81,51.827
12/1/81,54.95681818
1/1/82,59.859
2/1/82,62.04157895
3/1/82,59.14956522
4/1/82,63.35047619
5/1/82,63.4935
6/1/82,60.02636364
7/1/82,64.60666667
8/1/82,66.09
9/1/82,73.8547619
10/1/82,80.27238095
11/1/82,83.30666667
12/1/82,93.275
1/1/83,97.14095238
2/1/83,97.83368421
3/1/83,101.416087
4/1/83,109.854
5/1/83,114.5752381
6/1/83,118.1286364
7/1/83,122.1885
8/1/83,119.5143478
9/1/83,123.582381
10/1/83,130.1271429
11/1/83,123.7419048
12/1/83,121.3004762
1/1/84,119.8433333
2/1/84,110.548
3/1/84,111.8159091
4/1/84,111.26
5/1/84,111.1790909
6/1/84,104.7419048
7/1/84,106.6704762
8/1/84,121.716087
9/1/84,124.3526316
10/1/84,123.3026087
11/1/84,123.6819048
12/1/84,120.6855
1/1/85,126.2936364
2/1/85,134.0673684
3/1/85,130.0547619
4/1/85,127.5942857
5/1/85,128.8695455
6/1/85,123.862
7/1/85,126.8236364
8/1/85,128.2559091
9/1/85,127.3605263
10/1/85,127.0756522
11/1/85,135.847
12/1/85,148.7228571
1/1/86,151.0072727
2/1/86,156.2784211
3/1/86,149.6075
4/1/86,153.4163636
5/1/86,149.4547619
6/1/86,148.5028571
7/1/86,138.3309091
8/1/86,134.8709524
9/1/86,138.3885714
10/1/86,124.6173913
11/1/86,123.2542105
12/1/86,125.6418182
1/1/87,123.367619
2/1/87,136.4689474
3/1/87,145.3486364
4/1/87,150.7866667
5/1/87,162.2075
6/1/87,161.6890909
7/1/87,164.5027273
8/1/87,168.1209524
9/1/87,157.9657143
10/1/87,136.5968182
11/1/87,119.0555
12/1/87,113.8736364
1/1/88,115.886
2/1/88,112.023
3/1/88,113.5634783
4/1/88,112.2665
5/1/88,110.5161905
6/1/88,118.85
7/1/88,124.9915
8/1/88,117.8508696
9/1/88,113.2061905
10/1/88,119.3071429
11/1/88,118.6233333
12/1/88,121.3485714
1/1/89,123.5804762
2/1/89,125.8010526
3/1/89,115.3836364
4/1/89,111.211
5/1/89,110.6795455
6/1/89,110.3104545
7/1/89,113.504
8/1/89,115.6943478
9/1/89,115.491
10/1/89,104.5781818
11/1/89,98.49142857
12/1/89,96.222
1/1/90,98.23681818
2/1/90,102.1347368
3/1/90,106.1972727
4/1/90,107.9415
5/1/90,114.1172727
6/1/90,119.3190476
7/1/90,117.5985714
8/1/90,103.4926087
9/1/90,105.3921053
10/1/90,105.6934783
11/1/90,111.0695238
12/1/90,113.179
1/1/91,114.9686364
2/1/91,132.0278947
3/1/91,123.694
4/1/91,110.2704545
5/1/91,104.0086364
6/1/91,101.1595
7/1/91,99.60045455
8/1/91,97.61681818
9/1/91,102.347
10/1/91,99.82391304
11/1/91,97.447
12/1/91,88.36095238
1/1/92,92.86727273
2/1/92,89.98526316
3/1/92,86.645
4/1/92,86.72333333
5/1/92,92.1475
6/1/92,93.185
7/1/92,95.81590909
8/1/92,88.53857143
9/1/92,84.9147619
10/1/92,73.56545455
