Date,StockPrice
1/1/70,111.8742857
2/1/70,111.4536842
3/1/70,108.4514286
4/1/70,106.2886364
5/1/70,73.33285714
6/1/70,48.31863636
7/1/70,51.32045455
8/1/70,51.58571429
9/1/70,52.9247619
10/1/70,54.04727273
11/1/70,57.2645
12/1/70,59.04636364
1/1/71,57.42
2/1/71,58.33736842
3/1/71,60.46347826
4/1/71,61.18047619
5/1/71,59.977
6/1/71,63.37454545
7/1/71,68.51619048
8/1/71,68.77636364
9/1/71,72.46285714
10/1/71,71.17714286
11/1/71,73.3252381
12/1/71,76.60045455
1/1/72,78.04
2/1/72,85.1115
3/1/72,86.33318182
4/1/72,90.198
5/1/72,94.97
6/1/72,97.11272727
7/1/72,96.3865
8/1/72,97.93304348
9/1/72,97.2845
10/1/72,98.66318182
11/1/72,108.9925
12/1/72,108.9789474
1/1/73,114.5409524
2/1/73,108.5184211
3/1/73,108.1295455
4/1/73,99.686
5/1/73,100.2309091
6/1/73,102.2252381
7/1/73,106.022381
8/1/73,103.683913
9/1/73,97.52473684
10/1/73,99.61304348
11/1/73,99.42142857
12/1/73,93.148
1/1/74,89.3
2/1/74,85.39368421
3/1/74,91.24238095
4/1/74,88.83142857
5/1/74,97.045
6/1/74,101.486
7/1/74,98.51
8/1/74,87.44136364
9/1/74,78.992
10/1/74,78.51521739
11/1/74,85.842
12/1/74,80.30190476
1/1/75,83.64636364
2/1/75,93.01105263
3/1/75,95.0615
4/1/75,94.66909091
5/1/75,96.04095238
6/1/75,95.6652381
7/1/75,94.88454545
8/1/75,86.56333333
9/1/75,83.51
10/1/75,87.60173913
11/1/75,92.19578947
12/1/75,90.76545455
1/1/76,93.24857143
2/1/76,88.28736842
3/1/76,85.7973913
4/1/76,89.51
5/1/76,88.554
6/1/76,90.20818182
7/1/76,97.42095238
8/1/76,94.52681818
9/1/76,95.20095238
10/1/76,92.75904762
11/1/76,93.299
12/1/76,92.44181818
1/1/77,89.5347619
2/1/77,83.85263158
3/1/77,82.33434783
4/1/77,77.4795
5/1/77,75.66428571
6/1/77,79.19636364
7/1/77,80.73473684
8/1/77,82.37956522
9/1/77,85.27857143
10/1/77,82.55047619
11/1/77,83.19428571
12/1/77,84.04619048
1/1/78,81.84190476
2/1/78,78.54947368
3/1/78,76.17363636
4/1/78,78.43
5/1/78,84.65727273
6/1/78,86.42409091
7/1/78,88.235
8/1/78,88.79173913
9/1/78,88.771
10/1/78,86.17454545
11/1/78,84.71857143
12/1/78,87.2795
1/1/79,87.44181818
2/1/79,82.92526316
3/1/79,80.93636364
4/1/79,80.017
5/1/79,79.44681818
6/1/79,78.62285714
7/1/79,75.2952381
8/1/79,77.97521739
9/1/79,77.84052632
10/1/79,76.60130435
11/1/79,73.30142857
12/1/79,73.992
1/1/80,73.49227273
2/1/80,71.867
3/1/80,65.74333333
4/1/80,68.72428571
5/1/80,76.48666667
6/1/80,75.81333333
7/1/80,75.49727273
8/1/80,79.99761905
9/1/80,76.83714286
10/1/80,71.68304348
11/1/80,70.44888889
12/1/80,66.67454545
1/1/81,69.23666667
2/1/81,67.29368421
3/1/81,71.65727273
4/1/81,71.2947619
5/1/81,69.754
6/1/81,74.49272727
7/1/81,73.86136364
8/1/81,70.21857143
9/1/81,69.98714286
10/1/81,74.35
11/1/81,77.861
12/1/81,79.11727273
1/1/82,81.248
2/1/82,83.60894737
3/1/82,81.28565217
