Week,ILI,Queries
2004-01-04 - 2004-01-10,2.418331218,0.237715804
2004-01-11 - 2004-01-17,1.809055973,0.220451527
2004-01-18 - 2004-01-24,1.712023853,0.225763612
2004-01-25 - 2004-01-31,1.542495115,0.237715804
2004-02-01 - 2004-02-07,1.437868261,0.224435591
2004-02-08 - 2004-02-14,1.32427397,0.207171314
2004-02-15 - 2004-02-21,1.307256674,0.241699867
2004-02-22 - 2004-02-28,1.036976977,0.216467463
2004-02-29 - 2004-03-06,1.010320438,0.225763612
2004-03-07 - 2004-03-13,1.052492479,0.199203187
2004-03-14 - 2004-03-20,1.020090073,0.134130146
2004-03-21 - 2004-03-27,0.924418721,0.138114209
2004-03-28 - 2004-04-03,0.790645027,0.140770252
2004-04-04 - 2004-04-10,0.802609776,0.082337317
2004-04-11 - 2004-04-17,0.836129995,0.075697211
2004-04-18 - 2004-04-24,0.792435796,0.071713147
2004-04-25 - 2004-05-01,0.683587731,0.066401062
2004-05-02 - 2004-05-08,0.757452265,0.061088978
2004-05-09 - 2004-05-15,0.788585419,0.046480743
2004-05-16 - 2004-05-22,0.812170981,0.046480743
2004-05-23 - 2004-05-29,0.804462889,0.049136786
2004-05-30 - 2004-06-05,0.877700936,0.051792829
2004-06-06 - 2004-06-12,0.741453008,0.055776892
2004-06-13 - 2004-06-19,0.661022215,0.061088978
2004-06-20 - 2004-06-26,0.715109201,0.067729084
2004-06-27 - 2004-07-03,0.562241232,0.047808765
2004-07-04 - 2004-07-10,0.786808218,0.051792829
2004-07-11 - 2004-07-17,0.860657847,0.04249668
2004-07-18 - 2004-07-24,0.689943988,0.046480743
2004-07-25 - 2004-07-31,0.77969116,0.050464807
2004-08-01 - 2004-08-07,0.628143933,0.054448872
2004-08-08 - 2004-08-14,0.902458614,0.05312085
2004-08-15 - 2004-08-21,0.806443167,0.041168659
2004-08-22 - 2004-08-28,0.874887765,0.049136786
2004-08-29 - 2004-09-04,0.993213044,0.098273572
2004-09-05 - 2004-09-11,0.876140758,0.111553785
2004-09-12 - 2004-09-18,0.948091564,0.154050465
2004-09-19 - 2004-09-25,0.926942621,0.197875167
2004-09-26 - 2004-10-02,0.971643,0.260292165
2004-10-03 - 2004-10-09,0.897159138,0.322709164
2004-10-10 - 2004-10-16,1.022482794,0.377158034
2004-10-17 - 2004-10-23,1.062963178,0.378486056
2004-10-24 - 2004-10-30,1.146956981,0.312084993
2004-10-31 - 2004-11-06,1.204950065,0.282868527
2004-11-07 - 2004-11-13,1.305165503,0.285524568
2004-11-14 - 2004-11-20,1.286991647,0.305444886
2004-11-21 - 2004-11-27,1.594675617,0.252324037
2004-11-28 - 2004-12-04,1.397143182,0.34130146
2004-12-05 - 2004-12-11,1.449956726,0.324037184
2004-12-12 - 2004-12-18,1.617454456,0.355909695
2004-12-19 - 2004-12-25,2.191119208,0.42629482
2004-12-26 - 2005-01-01,2.566489315,0.545816733
2005-01-02 - 2005-01-08,2.176449094,0.454183267
2005-01-09 - 2005-01-15,2.201712061,0.354581673
2005-01-16 - 2005-01-22,2.530121136,0.389110226
2005-01-23 - 2005-01-29,3.065238098,0.423638779
2005-01-30 - 2005-02-05,3.980608301,0.515272245
2005-02-06 - 2005-02-12,4.595680265,0.598937583
2005-02-13 - 2005-02-19,4.75197055,0.427622842
2005-02-20 - 2005-02-26,4.179620642,0.422310757
2005-02-27 - 2005-03-05,3.45358511,0.361221779
2005-03-06 - 2005-03-12,3.158522375,0.37184595
2005-03-13 - 2005-03-19,2.673201033,0.265604249
2005-03-20 - 2005-03-26,2.351610407,0.330677291
2005-03-27 - 2005-04-02,1.892428492,0.21381142
2005-04-03 - 2005-04-09,1.524904773,0.207171314
2005-04-10 - 2005-04-16,1.411344095,0.15936255
2005-04-17 - 2005-04-23,1.250682562,0.156706507
2005-04-24 - 2005-04-30,1.207024978,0.122177954
2005-05-01 - 2005-05-07,1.078954965,0.146082338
2005-05-08 - 2005-05-14,1.145207959,0.104913678
2005-05-15 - 2005-05-21,1.061242631,0.11686587
2005-05-22 - 2005-05-28,1.056797738,0.098273572
2005-05-29 - 2005-06-04,1.25193098,0.078353254
2005-06-05 - 2005-06-11,1.014189346,0.073041168
2005-06-12 - 2005-06-18,1.041969283,0.083665339
2005-06-19 - 2005-06-25,0.954027367,0.065073041
2005-06-26 - 2005-07-02,0.84822989,0.066401062
2005-07-03 - 2005-07-09,0.841871513,0.073041168
2005-07-10 - 2005-07-16,0.730893626,0.08499336
2005-07-17 - 2005-07-23,0.713431619,0.090305445
2005-07-24 - 2005-07-30,0.670677181,0.096945552
2005-07-31 - 2005-08-06,0.689277592,0.115537848
2005-08-07 - 2005-08-13,0.70492899,0.132802125
2005-08-14 - 2005-08-20,0.615903314,0.135458167
2005-08-21 - 2005-08-27,0.609425606,0.130146083
2005-08-28 - 2005-09-03,0.68025867,0.140770252
2005-09-04 - 2005-09-10,0.775488426,0.138114209
2005-09-11 - 2005-09-17,0.68342137,0.150066401
2005-09-18 - 2005-09-24,0.781074795,0.177954847
2005-09-25 - 2005-10-01,0.806943467,0.301460823
2005-10-02 - 2005-10-08,1.076346784,0.296148739
2005-10-09 - 2005-10-15,1.058688964,0.305444886
2005-10-16 - 2005-10-22,1.115232584,0.253652059
2005-10-23 - 2005-10-29,1.123812497,0.282868527
2005-10-30 - 2005-11-05,1.254889179,0.300132802
2005-11-06 - 2005-11-12,1.336608972,0.227091633
2005-11-13 - 2005-11-19,1.378636362,0.322709164
2005-11-20 - 2005-11-26,1.608289961,0.289508633
2005-11-27 - 2005-12-03,1.483105622,0.314741035
2005-12-04 - 2005-12-10,1.653739929,0.353253652
2005-12-11 - 2005-12-17,2.006789242,0.399734395
2005-12-18 - 2005-12-24,2.568571608,0.395750332
2005-12-25 - 2005-12-31,3.052776224,0.487383798
2006-01-01 - 2006-01-07,2.425037296,0.487383798
2006-01-08 - 2006-01-14,2.001950645,0.386454183
2006-01-15 - 2006-01-21,2.058690224,0.347941566
2006-01-22 - 2006-01-28,2.212769677,0.363877822
2006-01-29 - 2006-02-04,2.322200097,0.401062417
2006-02-05 - 2006-02-11,2.492792013,0.367861885
2006-02-12 - 2006-02-18,2.794894202,0.369189907
2006-02-19 - 2006-02-25,2.969111362,0.387782205
2006-02-26 - 2006-03-04,2.839590546,0.301460823
2006-03-05 - 2006-03-11,2.777990206,0.285524568
2006-03-12 - 2006-03-18,2.472869266,0.288180611
2006-03-19 - 2006-03-25,2.180614596,0.290836653
2006-03-26 - 2006-04-01,2.016795135,0.235059761
2006-04-02 - 2006-04-08,1.641013321,0.184594953
2006-04-09 - 2006-04-15,1.358286534,0.179282869
2006-04-16 - 2006-04-22,1.142798278,0.187250996
2006-04-23 - 2006-04-29,1.040312519,0.140770252
2006-04-30 - 2006-05-06,0.964346915,0.163346614
2006-05-07 - 2006-05-13,0.937981747,0.12749004
2006-05-14 - 2006-05-20,0.94744934,0.131474103
2006-05-21 - 2006-05-27,0.891918208,0.135458167
2006-05-28 - 2006-06-03,0.864642684,0.144754316
2006-06-04 - 2006-06-10,0.970319902,0.132802125
2006-06-11 - 2006-06-17,0.84439012,0.107569721
2006-06-18 - 2006-06-24,0.774870358,0.110225764
2006-06-25 - 2006-07-01,0.821372487,0.107569721
2006-07-02 - 2006-07-08,0.872744512,0.102257636
2006-07-09 - 2006-07-15,0.922634501,0.103585658
2006-07-16 - 2006-07-22,0.899486835,0.082337317
