"grade","male","raceeth","preschool","expectBachelors","motherHS","motherBachelors","motherWork","fatherHS","fatherBachelors","fatherWork","selfBornUS","motherBornUS","fatherBornUS","englishAtHome","computerForSchoolwork","read30MinsADay","minutesPerWeekEnglish","studentsInEnglish","schoolHasLibrary","publicSchool","urban","schoolSize","readingScore"
10,0,"White",1,0,1,1,1,1,0,0,1,1,1,1,1,0,240,30,1,1,0,808,355.24
10,1,"White",0,0,1,0,1,1,0,1,1,1,1,1,1,0,255,NA,1,1,0,808,385.57
10,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,0,NA,30,1,1,0,808,522.62
10,0,"White",1,0,1,1,1,1,0,0,1,1,1,1,1,0,160,30,NA,1,0,808,406.24
10,0,"White",1,1,1,0,0,1,1,1,1,1,1,1,1,0,240,30,1,1,0,808,453.5
10,0,"White",0,0,1,0,1,1,0,1,1,1,1,1,0,1,200,NA,1,1,0,808,437.78
10,0,"American Indian/Alaska Native",1,0,1,0,0,1,0,0,1,1,1,1,1,1,240,30,1,1,0,808,405.13
10,0,"White",1,0,1,0,1,1,0,1,1,1,1,1,1,1,270,35,1,1,0,808,665.05
11,0,"White",0,0,1,1,1,1,1,1,1,1,1,1,1,1,270,30,1,1,0,808,604.84
10,1,"Hispanic",1,1,1,1,1,1,0,1,1,1,1,1,1,1,350,25,1,1,0,899,626.08
10,0,"White",0,1,1,0,0,1,0,1,1,1,1,1,1,0,350,27,1,1,0,899,525.32
10,0,"More than one race",NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,NA,23,1,1,0,899,499.5
10,1,"Hispanic",1,0,1,0,1,1,0,0,1,1,1,1,1,0,360,28,1,1,0,899,354.63
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,350,25,1,1,0,899,547.35
10,0,"Hispanic",1,1,1,0,1,1,1,1,1,1,1,1,1,1,360,27,1,1,0,899,571.39
10,1,"White",1,1,1,NA,1,1,NA,1,1,1,1,1,1,0,405,25,1,1,0,899,459.57
10,0,"Black",NA,NA,1,NA,1,1,0,0,1,1,1,1,1,0,350,23,1,1,0,899,539.06
10,1,"Hispanic",1,1,1,0,1,1,0,1,0,0,0,1,1,0,350,28,1,1,0,899,513.84
10,1,"White",1,0,1,NA,1,1,NA,0,1,1,1,1,1,0,270,20,1,1,0,899,521.22
10,0,"Black",1,0,1,0,1,1,0,1,1,1,1,1,1,0,270,18,1,1,0,996,380.34
10,1,"Black",1,1,1,0,1,1,1,1,1,1,1,1,1,0,270,20,1,1,0,996,467.1
9,1,"White",1,0,1,NA,0,1,NA,1,1,1,1,1,1,1,210,15,1,1,0,996,430.47
11,0,"White",1,1,1,1,0,1,0,1,1,1,1,1,1,0,270,NA,1,1,0,996,597.53
10,1,"Native Hawaiian/Other Pacific Islander",1,1,1,1,0,1,1,1,1,1,NA,0,1,0,270,20,1,1,0,996,605.31
10,1,"Black",1,1,1,0,1,1,1,1,1,1,1,1,1,1,270,14,1,1,0,996,482.5
10,0,"White",1,1,1,0,1,1,0,0,1,1,1,1,1,0,270,20,1,1,0,996,545.73
11,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,0,270,20,1,1,0,996,516.1
11,0,"Black",1,1,1,NA,1,1,NA,NA,1,1,1,1,1,0,NA,20,1,1,0,996,487.74
10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,0,0,270,25,1,1,0,1273,412.67
10,1,"White",1,1,1,1,1,1,NA,1,1,1,1,1,1,0,270,30,1,1,0,1273,573.17
9,0,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,630,30,1,1,0,1273,354.6
10,1,"White",1,1,1,0,1,1,0,1,1,1,1,1,NA,1,270,25,1,1,0,1273,512.48
10,0,"White",1,1,1,NA,0,1,1,1,1,1,1,1,1,1,270,20,1,1,0,1273,565.75
9,0,"White",1,1,1,0,0,0,0,1,1,1,1,1,1,0,450,20,1,1,0,1273,567.74
10,0,"White",0,1,1,0,0,1,0,1,1,1,1,1,1,1,120,20,1,1,0,1273,716.37
10,1,"More than one race",1,0,1,NA,0,NA,NA,0,1,0,1,1,1,1,270,30,1,1,0,1273,616.3
10,1,"White",1,1,1,NA,0,1,1,1,1,1,1,1,1,1,236,20,1,1,0,929,504.86
10,0,"White",1,1,1,NA,1,1,1,1,1,1,1,1,1,0,275,21,1,1,0,929,606.9
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,232,23,1,1,0,929,669.61
