"grade","male","raceeth","preschool","expectBachelors","motherHS","motherBachelors","motherWork","fatherHS","fatherBachelors","fatherWork","selfBornUS","motherBornUS","fatherBornUS","englishAtHome","computerForSchoolwork","read30MinsADay","minutesPerWeekEnglish","studentsInEnglish","schoolHasLibrary","publicSchool","urban","schoolSize","readingScore"
11,1,NA,NA,0,NA,NA,1,NA,NA,1,1,0,0,0,1,0,225,NA,1,1,1,673,476
11,1,"White",0,0,1,1,1,1,0,1,1,1,1,1,1,1,450,25,1,1,0,1173,575.01
9,1,"White",1,1,1,1,1,1,NA,1,1,1,1,1,1,0,250,28,1,1,0,1233,554.81
10,0,"Black",1,1,0,0,1,1,0,1,1,1,1,1,1,1,200,23,1,1,1,2640,458.11
10,1,"Hispanic",1,0,1,0,1,1,0,0,1,1,0,1,1,1,250,35,1,1,1,1095,613.89
10,1,"Black",1,1,NA,NA,1,1,0,1,1,1,1,1,1,0,300,20,1,1,0,227,490.59
10,0,"Asian",0,1,1,0,1,NA,NA,NA,0,1,NA,1,1,0,250,28,1,1,1,2080,604.36
10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,1,1,300,30,1,1,0,1913,439.36
9,0,"White",1,0,1,NA,1,0,NA,1,1,1,1,1,1,0,378,20,0,1,1,502,428.96
10,1,"More than one race",1,1,1,1,1,0,0,1,1,1,1,1,1,0,294,24,1,1,0,899,465.9
10,1,"More than one race",1,0,1,1,1,1,1,1,1,1,1,1,NA,0,NA,15,1,1,0,389,474.48
10,0,"Hispanic",1,1,1,0,1,1,0,0,0,0,0,0,0,1,232,14,1,1,0,1733,508.95
10,0,"More than one race",1,1,1,0,1,1,0,1,1,1,0,1,1,0,200,12,NA,1,0,300,424.11
10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,1,225,20,1,1,0,149,646.38
10,0,"Hispanic",1,0,0,0,0,0,0,1,0,0,0,0,1,1,270,25,1,1,1,1400,403.77
11,1,"White",1,1,1,0,0,1,1,1,1,1,1,1,1,0,275,30,1,1,1,1988,423.73
9,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,15,1,0,1,915,646.6
11,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,1,250,20,1,1,0,636,532.86
10,0,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,250,12,1,1,0,854,547.32
10,1,"White",1,1,1,1,1,1,1,0,1,1,1,1,1,1,315,40,1,1,1,2999,569.32
10,1,"Hispanic",0,1,0,0,0,NA,1,0,1,1,0,1,1,1,350,26,0,1,1,6694,473.6
10,1,"White",0,1,1,0,1,1,1,1,1,1,1,1,1,0,225,30,1,1,0,2748,563.55
9,0,"White",1,1,1,0,1,1,0,0,1,1,1,1,0,1,235,32,1,1,0,149,493.38
10,0,"Hispanic",1,1,1,0,1,1,0,1,1,1,1,1,1,1,600,30,1,1,0,361,472.41
10,0,"White",1,1,1,1,0,1,1,1,0,1,0,1,1,1,240,26,1,0,1,575,513.72
11,1,"Black",1,1,1,0,0,1,0,0,1,1,1,1,1,0,1296,30,1,1,1,3261,577.9
10,1,"White",0,1,1,1,1,1,0,1,1,1,1,1,1,1,300,30,1,1,0,2340,555.85
10,1,"White",1,1,1,1,0,1,0,1,1,1,1,1,1,1,250,25,1,1,0,1913,649.65
11,1,"Asian",1,0,NA,0,0,NA,0,0,1,0,0,0,1,1,300,40,1,1,1,3201,569.4
10,0,"White",0,1,1,0,0,NA,NA,NA,1,1,1,1,1,0,50,40,1,1,1,3592,408.06
9,1,"Hispanic",1,1,1,0,0,NA,0,1,1,1,1,1,1,0,210,15,1,1,0,NA,425.66
10,1,"White",1,1,1,1,1,1,0,1,1,1,1,1,1,0,90,20,1,1,0,2569,596.41
11,1,"Hispanic",0,1,0,0,1,1,NA,1,1,0,0,1,1,0,480,16,1,1,1,NA,508.23
9,1,"White",0,1,1,1,0,1,1,1,1,1,1,1,1,1,180,25,1,0,1,1212,561.94
11,0,"White",0,1,1,0,1,1,0,1,1,1,1,1,1,1,250,25,1,1,0,509,637.65
10,1,"Hispanic",1,1,1,NA,1,1,NA,0,1,1,1,1,1,1,300,20,1,1,1,NA,600.98
10,1,"Hispanic",1,1,1,0,1,1,0,1,1,1,1,1,1,0,315,25,1,1,0,899,488.43
10,0,"Black",0,1,1,1,1,1,1,1,1,1,1,1,1,0,270,25,1,1,0,1526,490.68
10,0,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,1,225,25,1,1,0,276,591.57
10,0,"Hispanic",0,1,1,0,1,NA,NA,NA,0,0,0,0,1,0,450,29,1,1,0,1079,524.84
10,0,"Hispanic",1,1,1,0,0,1,0,1,1,1,1,1,0,1,225,30,1,1,0,1250,444.29
11,1,"Hispanic",0,0,1,0,NA,1,0,1,1,0,1,1,1,0,275,37,1,1,1,3592,516.25
10,0,"White",1,1,1,1,0,1,1,1,0,1,1,1,1,0,250,30,1,1,0,2878,639.55
10,1,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,0,225,25,NA,0,0,1064,532.36
10,0,"White",1,1,1,0,0,1,0,1,1,1,1,1,0,1,225,25,1,1,0,276,453.9
11,1,"White",1,1,1,0,1,1,1,1,1,1,1,1,1,0,290,12,1,1,0,929,566.75
10,1,"Black",1,1,1,1,1,1,0,0,1,1,1,1,1,0,225,6,1,1,0,1897,494.04
10,1,"Black",1,1,1,0,1,0,0,1,1,1,1,1,1,0,200,14,1,1,1,2640,506.15
10,1,"White",1,1,0,1,1,0,0,1,1,1,1,1,1,0,0,NA,1,1,0,1173,584.23
10,0,"White",1,1,1,1,0,1,1,1,1,1,1,1,1,1,460,27,1,1,0,1087,637.33
11,0,"White",1,1,1,1,1,1,1,1,1,1,1,1,1,1,232,25,1,1,0,2710,614.85
11,0,"Hispanic",1,1,0,0,0,0,0,1,1,0,0,1,1,0,70,25,1,1,0,1101,416.09
10,0,"Hispanic",0,0,1,1,1,1,1,1,1,1,1,1,1,0,60,32,1,1,1,NA,336.17
10,1,"American Indian/Alaska Native",0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,0,250,31,1,1,1,3164,397.84
