year,songtitle,artistname,songID,artistID,timesignature,timesignature_confidence,loudness,tempo,tempo_confidence,key,key_confidence,energy,pitch,timbre_0_min,timbre_0_max,timbre_1_min,timbre_1_max,timbre_2_min,timbre_2_max,timbre_3_min,timbre_3_max,timbre_4_min,timbre_4_max,timbre_5_min,timbre_5_max,timbre_6_min,timbre_6_max,timbre_7_min,timbre_7_max,timbre_8_min,timbre_8_max,timbre_9_min,timbre_9_max,timbre_10_min,timbre_10_max,timbre_11_min,timbre_11_max,Top10
2010,This Is the House That Doubt Built,A Day to Remember,SOBGGAB12C5664F054,AROBSHL1187B9AFB01,3,0.853,-4.262,91.525,0.953,11,0.453,0.966655566,0.024,0.002,57.342,-6.496,171.093,-81.664,95.117,-285.049,259.426,-40.385,73.63,-104.683,183.089,-88.771,73.549,-71.127,82.475,-52.025,39.116,-35.368,71.642,-126.44,18.658,-44.77,25.989,0
2010,Sticks & Bricks,A Day to Remember,SOPAQHU1315CD47F31,AROBSHL1187B9AFB01,4,1,-4.051,140.048,0.921,10,0.469,0.984709516,0.025,0,57.414,-37.351,171.13,-149.589,180.334,-380.143,384.166,-48.662,100.414,-87.267,42.798,-86.895,75.455,-65.807,106.918,-61.32,35.378,-81.928,74.574,-103.808,121.935,-38.892,22.513,0
2010,All I Want,A Day to Remember,SOOIZOU1376E7C6386,AROBSHL1187B9AFB01,4,1,-3.571,160.512,0.489,2,0.209,0.989900438,0.026,0.003,57.422,-17.222,171.06,-72.912,157.925,-203.984,251.258,-66.044,152.095,-98.673,141.365,-88.874,66.504,-67.433,80.621,-59.773,45.979,-46.293,59.904,-108.313,33.3,-43.733,25.744,0
2010,It's Complicated,A Day to Remember,SODRYWD1315CD49DBE,AROBSHL1187B9AFB01,4,1,-3.815,97.525,0.794,1,0.632,0.939207164,0.013,0,57.765,-32.083,220.895,-138.596,173.365,-73.49,373.492,-55.607,119.158,-77.515,141.178,-70.79,64.54,-63.667,96.675,-78.66,41.088,-49.194,95.44,-102.676,46.422,-59.439,37.082,0
2010,2nd Sucks,A Day to Remember,SOICMQB1315CD46EE3,AROBSHL1187B9AFB01,4,0.788,-4.707,140.053,0.286,6,0.483,0.987737586,0.063,0,56.872,-223.922,171.13,-147.153,166.008,-128.082,389.419,-43.908,99.332,-96.147,38.303,-110.757,72.391,-55.935,110.332,-56.45,37.555,-48.588,67.57,-52.796,22.888,-50.414,32.758,0
2010,Better Off This Way,A Day to Remember,SOCEYON1315CD4A23E,AROBSHL1187B9AFB01,4,1,-3.807,160.366,0.347,4,0.627,0.979952984,0.038,0,57.083,-40.408,174.002,-83.829,126.879,-100.119,173.607,-33.789,66.904,-84.451,47.268,-71.219,71.239,-79.948,91.117,-54.378,53.808,-33.183,54.657,-64.478,34.522,-40.922,36.453,0
2010,All Signs Point to Lauderdale,A Day to Remember,SODZEHH1377566C93F,AROBSHL1187B9AFB01,4,0.968,-4.114,149.967,0.273,10,0.715,0.982961471,0.026,0.707,57.278,-64.096,183.868,-108.461,141.058,-128.783,86.122,-50.55,105.311,-78.381,135.857,-54.947,71.497,-102.725,97.938,-57.289,34.989,-35.724,72.925,-66.07,75.881,-51.232,28.741,0
2010,Out of Time,A Day to Remember,SOJQXRI12C5664F058,AROBSHL1187B9AFB01,4,0.861,-3.683,160.328,0.83,5,0.423,0.979079832,0.033,0.047,57.068,-88.51,213.521,-124.481,99.873,-116.772,407.236,-42.201,92.82,-77.368,239.009,-55.941,64.595,-98.327,114.817,-56.108,25.915,-69.726,112.78,-117.207,27.494,-50.713,31.47,0
2010,If I Leave,A Day to Remember,SOWCXMH137733DA46E,AROBSHL1187B9AFB01,4,0.622,-4.967,155.112,0.018,9,0.751,0.988699089,0.027,0,56.637,-4.036,171.13,-61.646,119.494,-101.766,91.926,-52.176,61.451,-94.827,175.639,-49.607,65.717,-79.198,67.466,-53.234,40.445,-33.081,50.643,-61.121,50.245,-53.695,26.625,0
2010,Whataya Want From Me,Adam Lambert,SOFOBLL13A9E22142F,ARIGTAO11FED0C4411,4,0.938,-15.557,95.904,0.929,11,0.602,0.42590947,0.004,15.599,47.851,-83.614,231.735,-125.176,192.713,-164.046,211.905,-54.926,113.781,-117.653,277.953,-80.263,76.129,-90.897,99.15,-69.346,56.233,-94.733,62.789,-102.87,65.328,-48.411,47.376,1
2010,An Exercise in Humility,Analog Rebellion,SOMTUYH12AB018B8EE,ARYGZHO1271F5760D2,3,0.625,-7.726,200.005,0.133,9,0.279,0.888763431,0.047,42.365,54.103,-66.524,137.83,-86.244,103.932,-78.304,43.705,-45.29,81.737,-75.495,80.521,-55.646,19.692,-56.748,42.186,-18.936,43.105,-16.726,67.663,-84.943,72.547,-30.036,25.216,0
2010,Phillip Garrido,Analog Rebellion,SOCWDID12AB018B90C,ARYGZHO1271F5760D2,3,0.937,-7.738,135.939,0.349,1,0,0.771629587,0.009,14.627,57.259,-177.436,138.208,-149.301,79.353,-178.687,160.407,-54.412,125.742,-98.641,173.556,-71.076,61.822,-70.264,156.782,-43.49,62.512,-57.88,55.263,-105.431,62.563,-50.593,40.919,0
2010,I Am a Ghost (Artifact),Analog Rebellion,SONHQSS12AB018B90F,ARYGZHO1271F5760D2,3,0.802,-12.009,104.933,0.703,2,0.284,0.311863237,0.004,11.26,52.106,-262.437,97.823,-147.817,89.915,-246.274,163.506,-36.385,146.273,-86.777,181.417,-92.358,67.584,-111.014,80.456,-67.876,64.149,-80.063,156.534,-116.18,100.165,-46.886,49.908,0
2010,An Onest Thank You (Credits & Genres),Analog Rebellion,SOPUFIK12AB018B91F,ARYGZHO1271F5760D2,3,0.708,-11.689,104.478,0.33,0,0.774,0.363526453,0.011,0.003,52.722,-101.552,185.874,-114.369,88.058,-163.477,163.703,-43.106,111.329,-86.493,127.711,-87.846,46.844,-82.912,77.818,-42.698,51.237,-53.757,53.743,-68.704,44.799,-35.152,47.818,0
2010,Brain ___ Heart (I Need to Know),Analog Rebellion,SOEHEPO12AB018B8D7,ARYGZHO1271F5760D2,4,0.823,-7.302,85.521,0.443,9,0.92,0.700095888,0.006,0.026,56.298,-244.725,170.53,-93.003,158.83,-322.242,65.44,-48.383,153.321,-97.661,117.573,-98.896,51.254,-71.992,71.256,-68.862,52.422,-73.767,45.295,-46.7,41.784,-39.096,35.099,0
2010,A Particularly Long Elevator Shaft,Analog Rebellion,SOJOFDS12AB018B8DB,ARYGZHO1271F5760D2,4,0.986,-8.218,117.967,0.955,7,0.796,0.625587363,0.006,20.98,56.184,-247.868,144.349,-179.783,77.868,-149.638,76.791,-33.913,173.592,-118.235,76.992,-72.81,116.1,-80.435,65.918,-50.031,81.259,-58.461,49.083,-66.249,47.532,-48.212,51.62,0
2010,A Real Clever Trick Fur a Bear,Analog Rebellion,SOQILMH135A1BECDBF,ARYGZHO1271F5760D2,4,1,-9.57,99.997,0.795,7,0.74,0.550270591,0.003,22.045,55.172,-227.259,155.296,-149.16,137.864,-123.286,173.038,-60.243,134.934,-94.189,54.58,-79.387,42.651,-102.108,59.696,-85.226,57.79,-59.308,56.051,-88.176,52.429,-51.279,39.258,0
2010,You've Been Had (Machine),Analog Rebellion,SOTPATV12AB018B8E7,ARYGZHO1271F5760D2,4,0.844,-8.475,95.445,0.484,9,0.565,0.75498503,0.008,23.237,55.258,-251.592,136.301,-196.25,70.994,-240.987,177.128,-61.669,76.337,-95.475,115.316,-71.464,71.991,-59.876,69.346,-34.776,51.666,-69.867,67.548,-113.424,80.156,-41.642,38.217,0
2010,Sombrero Negro,Analog Rebellion,SOBPURI12AB018B8F1,ARYGZHO1271F5760D2,4,0.656,-7.461,106.206,0.458,7,0.798,0.807021874,0.003,16.866,55.65,-212.393,346.839,-150.191,101.487,-157.776,267.786,-54.112,113.489,-116.358,263.65,-44.158,72.72,-162.768,100.705,-44.142,54.21,-83.894,65.086,-107.879,93.07,-41.288,55.735,0
2010,In the Style of a Tight Rope Walker,Analog Rebellion,SOHQPZQ12AB018B8FD,ARYGZHO1271F5760D2,4,0.802,-9.346,77.497,0.407,9,0.507,0.771167815,0.021,18.47,54.549,-111.536,194.014,-114.969,127.335,-92.347,344.149,-91.955,84.452,-109.878,172.629,-73.567,109.863,-74.75,115.286,-86.688,23.855,-70.783,71.188,-107.527,92.575,-48.58,38.156,0
2010,Marla Singer,Analog Rebellion,SOTCBOV12AB018B905,ARYGZHO1271F5760D2,4,0.79,-7.58,80.045,0.261,6,0.014,0.710764824,0.008,21.104,57.457,-252.382,126.679,-96.298,88.779,-132.092,83.951,-50.449,115.547,-88.412,110.608,-46.276,79.359,-67.854,65.091,-87.332,37.528,-57.132,112.592,-47.16,35.145,-41.481,58.249,0
2010,The New School Shooter,Analog Rebellion,SOPDIAZ12AB018B917,ARYGZHO1271F5760D2,4,1,-10.248,126.989,0.724,5,0,0.435554565,0.001,20.161,54.714,-285.432,151.38,-179.28,136.125,-192.388,91.083,-45.165,137.844,-112.022,143.484,-104.559,75.838,-93.724,105.813,-62.078,72.144,-86.318,122.251,-68.078,57.645,-45.647,55.842,0
2010,The Parasite Life,Analog Rebellion,SOUHKWT12AB018B91D,ARYGZHO1271F5760D2,4,0.902,-9.831,117.233,0.416,1,0.747,0.683718731,0.013,2.527,55.695,-251.839,193.785,-165.125,135.037,-215.399,375.325,-46.477,133.683,-98.59,93.032,-78.916,53.74,-80.812,104.801,-65.833,49.022,-74.254,75.951,-111.685,56.374,-37.508,46.506,0
2010,We Are The World 25: For Haiti,Artists For Haiti,SOTEGEI13134389BC0,ARZAYIQ1275322AEE7,4,1,-6.218,75.018,0.232,4,0.709,0.711870928,0.008,0,58.297,-175.01,171.13,-93.289,169.863,-151.942,216.772,-81.595,108.282,-84.914,144.482,-86.55,92.991,-88.239,73.64,-66.116,70.95,-50.593,55.819,-108.325,51.494,-62.202,55.321,1
2010,Magic,B.o.B,SOCRJPX135FFE4F1AC,ARKQQZA12086C116FC,4,1,-4.281,82.543,0.948,6,0.018,0.931892866,0.008,0,57.471,-113.3,173.531,-115.426,193.923,-171.55,155.595,-75.683,109.68,-104.722,154.292,-75.857,65.525,-116.783,86.738,-66.377,45.026,-51.316,76.215,-74.426,64.825,-60.809,45.137,1
2010,Airplanes,B.o.B,SOVWJTF13B346C89A9,ARKQQZA12086C116FC,4,1,-4.632,93.041,0.943,9,0,0.87592999,0.009,8.04,57.416,-68.91,172.242,-85.425,111.132,-189.283,319.509,-57.92,106.097,-85.214,105.962,-58.391,62.698,-101.503,109.932,-58.905,41.963,-49.356,71.626,-110.716,50.365,-44.384,29.936,1
2010,Nothin' On You,B.o.B,SOWHVEZ13672C4B6A4,ARKQQZA12086C116FC,4,1,-4.31,104.015,1,10,0.458,0.884819781,0.007,0,57.936,-140.194,207.768,-74.69,141.442,-367.307,131.14,-56.402,153.979,-99.252,199.285,-90.684,71.062,-86.826,80.755,-60,47.343,-68.064,55.142,-97.047,50.844,-51.398,43.509,1
2010,3,Britney Spears,SOIUHOE13730D0E5E8,AR03BDP1187FB5B324,4,1,-4.88,129.933,0.476,1,0.429,0.658579365,0.004,32.417,56.879,-268.067,201.653,-111.426,171.515,-208.238,330.762,-45.841,116.226,-82.732,188.653,-113.553,81.334,-134.02,77.367,-58.482,74.102,-64.293,83.458,-198.739,91.06,-43.253,45.054,1
2010,Canadian Ten,Butch Walker,SOGJJQP12AF72A47D0,AR7NQDM1187FB3BEAA,3,0.93,-8.419,70.179,0.215,4,0.769,0.444829472,0.008,0.288,56.843,-191.797,409.296,-125.096,167.969,-207.082,345.841,-68.084,147.634,-73.979,93.028,-61.742,86.875,-113.055,123.026,-69.466,58.806,-106.496,107.306,-85.882,59.408,-40.89,59.936,0
2010,They Don't Know What We Know,Butch Walker,SOPHYRB1312A8AA627,AR7NQDM1187FB3BEAA,3,0.582,-7.102,114.697,0.414,4,0.307,0.654856781,0.015,14.649,57.263,-155.152,134.546,-78.078,141.552,-120.544,111.784,-23.188,190.042,-69.766,99.61,-81.979,74.489,-80.102,80.89,-70.455,57.653,-62.671,48.146,-98.006,85.184,-48.697,53.961,0
2010,Trash Day,Butch Walker,SOBWYLK1313438B1B8,AR7NQDM1187FB3BEAA,4,0.806,-5.032,119.078,0.921,7,0.72,0.890082753,0.024,0,58.471,-73.553,274.144,-78.55,129.999,-128.308,182.212,-50.811,81.24,-68.663,214.459,-78.712,65.566,-75.236,83.837,-47.229,45.484,-47.897,75.65,-70.835,42.328,-44.241,40.754,0
2010,Pretty Melody,Butch Walker,SOEWXXI12AF72A9E6F,AR7NQDM1187FB3BEAA,4,1,-5.973,113.805,0.779,0,0.668,0.754953675,0.012,0.383,57.467,-157.026,223.695,-142.568,143.476,-160.442,392.865,-59.301,101.735,-95.864,134.659,-95.927,82.685,-82.592,89.856,-77.753,29.628,-70.259,88.903,-87.867,71.594,-51.909,32.617,0
2010,Don't You Think Someone Should Take You Home,Butch Walker,SOHFRHX1311AFDF57F,AR7NQDM1187FB3BEAA,4,0.96,-11.216,79.677,0.784,6,0.099,0.390779642,0.003,0.711,55.531,-89.399,317.804,-154.709,111.576,-161.459,318.877,-80.321,100.879,-199.542,138.86,-97.965,66.013,-115.89,123.044,-73.672,71.428,-101.968,80.67,-82.913,45.501,-54.542,47.855,0
2010,Stripped Down Version,Butch Walker,SOLFRCG12AF72A1216,AR7NQDM1187FB3BEAA,4,0.995,-7.199,116.031,0.884,7,0.378,0.693676515,0.005,2.837,56.939,-95.506,233.939,-141.371,145.274,-99.026,181.583,-41.625,121.612,-108.578,113.255,-67.783,71.029,-90.172,110.824,-66.531,53.982,-41.741,55.431,-94.666,56.496,-48.967,35.228,0
2010,Temporary Title,Butch Walker,SOCSMAN1311AFE2756,AR7NQDM1187FB3BEAA,4,0.969,-4.787,138.109,0.869,0,0.739,0.861017651,0.013,2.872,58.461,-193.691,274.331,-145.277,119.446,-182.411,350.178,-122.212,102.608,-75.084,209.663,-90.289,69.248,-60.717,79.198,-69.266,64.673,-58.951,53.273,-118.648,44.301,-50.853,37.138,0
2010,She Likes Hair Bands,Butch Walker,SOGSQNB13134392979,AR7NQDM1187FB3BEAA,4,1,-4.86,148.002,0.043,10,0.753,0.796396625,0.012,7.382,57.656,-89.806,248.591,-159.834,128.129,-204.467,206.078,-54.13,126.34,-88.783,182.314,-101.221,75.248,-133.282,131.902,-63.819,68.365,-54.928,73.285,-109.634,68.715,-49.667,48.644,0
2010,House of Cards,Butch Walker,SOIPXUF12AF72A6412,AR7NQDM1187FB3BEAA,4,0.967,-4.451,133.437,0.964,0,0.594,0.926592184,0.022,23.818,58.44,-59.161,186.311,-66.598,154.815,-405.688,69.711,-35.149,102.708,-67.762,57.889,-53.84,65.951,-68.547,54.435,-44.248,41.037,-40.934,56.037,-44.451,28.713,-38.699,39.529,0
2010,Days/Months/Years,Butch Walker,SOCVRNC13134387E64,AR7NQDM1187FB3BEAA,4,0.919,-4.986,120.689,0.843,0,0.777,0.859646146,0.03,6.247,58.552,-31.278,399.252,-124.385,122.043,-166.034,157.086,-57.225,125.632,-107.72,162.751,-84.083,68.747,-94.953,95.082,-58.174,30.83,-50.456,68.785,-84.406,45.056,-56.345,34.383,0
2010,Be Good Until Then,Butch Walker,SOHLOGR12AF72AC772,AR7NQDM1187FB3BEAA,4,0.965,-12.804,132.985,0.168,1,0.446,0.206600633,0.005,11.427,50.96,-146.489,294.176,-107.094,148.091,-264.647,172.553,-50.439,105.736,-71.19,164.461,-95.591,56.407,-115.568,102.51,-77.192,66.813,-103.325,61.104,-83.305,53.977,-55.824,54.816,0
