TOWN,TRACT,LON,LAT,MEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO
Nahant,2011,-70.955,42.255,24,0.00632,18,2.31,0,0.538,6.575,65.2,4.09,1,296,15.3
Swampscott,2021,-70.95,42.2875,21.6,0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8
Swampscott,2022,-70.936,42.283,34.7,0.02729,0,7.07,0,0.469,7.185,61.1,4.9671,2,242,17.8
Marblehead,2031,-70.928,42.293,33.4,0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7
Marblehead,2032,-70.922,42.298,36.2,0.06905,0,2.18,0,0.458,7.147,54.2,6.0622,3,222,18.7
Marblehead,2033,-70.9165,42.304,28.7,0.02985,0,2.18,0,0.458,6.43,58.7,6.0622,3,222,18.7
Salem,2041,-70.936,42.297,22.9,0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2
Salem,2042,-70.9375,42.31,22.1,0.14455,12.5,7.87,0,0.524,6.172,96.1,5.9505,5,311,15.2
Salem,2043,-70.933,42.312,16.5,0.21124,12.5,7.87,0,0.524,5.631,100,6.0821,5,311,15.2
Salem,2044,-70.929,42.316,18.9,0.17004,12.5,7.87,0,0.524,6.004,85.9,6.5921,5,311,15.2
Salem,2045,-70.935,42.316,15,0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2
Salem,2046,-70.944,42.317,18.9,0.11747,12.5,7.87,0,0.524,6.009,82.9,6.2267,5,311,15.2
Salem,2047,-70.951,42.306,21.7,0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2
Lynn,2051,-70.9645,42.292,20.4,0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21
Lynn,2052,-70.972,42.287,18.2,0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21
Lynn,2053,-70.9765,42.294,19.9,0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21
