title,abstract,trial
"Treatment of Hodgkin's disease and other cancers with 1,3-bis(2-chloroethyl)-1-nitrosourea (BCNU; NSC-409962).",,1
Cell mediated immune status in malignancy--pretherapy and post-therapy assessment.,"Twenty-eight cases of malignancies of different kinds were studied to assess T-cell activity and population before and after institution of therapy. Fifteen cases were diagnosed as non-metastasising squamous cell carcinoma of larynx, pharynx, laryngopharynx, hypopharynx and tonsils. Seven cases were non-metastasising infiltrating duct carcinoma of breast and 6 cases were non-Hodgkin's lymphoma (NHL). It was observed that 3 out of 15 cases (20%) of squamous cell carcinoma cases were Mantoux test (MT) negative with a T-cell population of less than 40%, 2 out of 7 cases (28.6%) of infiltrating duct carcinoma of breast were MT negative with a T-cell population of less than 40% and 3 out of 6 cases (50%) of NHL were MT negative with a T-cell population of less than 40%. The normal controls, consisting of apparently normal healthy adults, had a T-cell population of more than 40% and were all MT positive. The patients who showed a negative skin test and a T-cell population less than 40% were further subjected to assessment of T-cell population and activity after appropriate therapy, and clinical cure of the disease. It was observed that 2 out of 3 cases (66.66%) of squamous cell carcinomas, 2 out of 2 cases (100%) of adenocarcinomas and one out of 3 cases (33.33%) of NHL showed positive conversion with a T-cell population of more than 40%.",0
Neoadjuvant vinorelbine-capecitabine versus docetaxel-doxorubicin-cyclophosphamide in early nonresponsive breast cancer: phase III randomized GeparTrio trial.,"BACKGROUND: Among breast cancer patients, nonresponse to initial neoadjuvant chemotherapy is associated with unfavorable outcome. We compared the response of nonresponding patients who continued the same treatment with that of patients who switched to a well-tolerated non-cross-resistant regimen. METHODS: Previously untreated breast cancer patients received two 3-week cycles of docetaxel at 75 mg/m(2), doxorubicin at 50 mg/m(2), and cyclophosphamide at 500 mg/m(2) per day (TAC). Patients whose tumors did not decrease in size by at least 50% were randomly assigned to four additional cycles of TAC or to four cycles of vinorelbine at 25 mg/m(2) and capecitabine at 2000 mg/m(2) (NX). The outcome was sonographic response, defined as a reduction in the product of the two largest perpendicular diameters by at least 50%. A difference of 10% or less in the sonographic response qualified as noninferiority of the NX treatment. Pathological complete response was defined as no invasive or in situ residual tumor masses in the breast and lymph nodes. Toxic effects were assessed. All statistical tests were two-sided. RESULTS: Of 2090 patients enrolled in the GeparTrio study, 622 (29.8%) who did not respond to two initial cycles of TAC were randomly assigned to an additional four cycles of TAC (n = 321) or to four cycles of NX (n = 301). Sonographic response rate was 50.5% for the TAC arm and 51.2% for the NX arm. The difference of 0.7% (95% confidence interval = -7.1% to 8.5%) demonstrated noninferiority of NX (P = .008). Similar numbers of patients in both arms received breast-conserving surgery (184 [57.3%] in the TAC arm vs 180 [59.8%] in the NX arm) and had a pathological complete response (5.3% vs 6.0%). Fewer patients in the NX arm than in the TAC arm had hematologic toxic effects, mucositis, infections, and nail changes, but more had hand-foot syndrome and sensory neuropathy. CONCLUSION: Pathological complete responses to both regimens were marginal. Among patients who did not respond to the initial neoadjuvant TAC treatment, similar efficacy but better tolerability was observed by switching to NX than continuing with TAC.",1
"Randomized phase 3 trial of fluorouracil, epirubicin, and cyclophosphamide alone or followed by Paclitaxel for early breast cancer.","BACKGROUND: Taxanes are among the most active drugs for the treatment of metastatic breast cancer, and, as a consequence, they have also been studied in the adjuvant setting.METHODS: After breast cancer surgery, women with lymph node-positive disease were randomly assigned to treatment with fluorouracil, epirubicin, and cyclophosphamide (FEC) or with FEC followed by weekly paclitaxel (FEC-P). The primary endpoint of study-5-year disease-free survival (DFS)-was assessed by Kaplan-Meier analysis. Secondary endpoints included overall survival and analysis of the prognostic and predictive value of clinical and molecular (hormone receptors by immunohistochemistry and HER2 by fluorescence in situ hybridization) markers. Associations and interactions were assessed with a multivariable Cox proportional hazards model for DFS for the following covariates: age, menopausal status, tumor size, lymph node status, type of chemotherapy, tumor size, positive lymph nodes, HER2 status, and hormone receptor status. All statistical tests were two-sided.RESULTS: Among the 1246 eligible patients, estimated rates of DFS at 5 years were 78.5% in the FEC-P arm and 72.1% in the FEC arm (difference = 6.4%, 95% confidence interval [CI] = 1.6% to 11.2%; P = .006). FEC-P treatment was associated with a 23% reduction in the risk of relapse compared with FEC treatment (146 relapses in the 614 patients in the FEC-P arm vs 193 relapses in the 632 patients in the FEC arm, hazard ratio [HR] = 0.77, 95% CI = 0.62 to 0.95; P = .022) and a 22% reduction in the risk of death (73 and 95 deaths, respectively, HR = 0.78, 95% CI = 0.57 to 1.06; P = .110). Among the 928 patients for whom tumor samples were centrally analyzed, type of chemotherapy (FEC vs FEC-P) (P = .017), number of involved axillary lymph nodes (P < .001), tumor size (P = .020), hormone receptor status (P = .004), and HER2 status (P = .006) were all associated with DFS. We found no statistically significant interaction between HER2 status and paclitaxel treatment or between hormone receptor status and paclitaxel treatment.CONCLUSIONS: Among patients with operable breast cancer, FEC-P treatment statistically significantly reduced the risk of relapse compared with FEC as adjuvant therapy.",1
Is first-line single-agent mitoxantrone in the treatment of high-risk metastatic breast cancer patients as effective as combination chemotherapy? No difference in survival but higher quality of life were found in a multicenter randomized trial.,"BACKGROUND: To determine whether patients with high-risk metastatic breast cancer draw benefit from combination chemotherapy as first-line treatment. PATIENTS AND METHODS: A total of 260 women with measurable metastatic breast cancer fulfilling high-risk criteria, previously untreated with chemotherapy for their metastatic disease, were randomized to receive either mitoxantrone 12 mg/m(2) or the combination of fluorouracil 500 mg/m(2), epirubicin 50 mg/m(2) and cyclophosphamide 500 mg/m(2) (FEC) every 3 weeks. Treatment was continued until complete remission plus two cycles, or until disease progression. In the case of partial remission or stable disease, treatment was stopped after 12 cycles. Second-line treatment was vindesine, mitomycin and prednisolone. Gain from treatment was estimated using a modified Brunner's score composed of time to progression, patients' rating of the treatment benefit, alopecia, vomiting and performance status. RESULTS: After recruitment from 1992 to 1997 and observation from 1997 to 1999, the final evaluation showed that single-agent treatment with mitoxantrone does not differ significantly from combination treatment with FEC in terms of response, objective remission rate, remission duration, time to response, time to best response, time to progression or overall survival. There was, however, a significant difference in gain from treatment using a modified Brunner's score favoring the single-agent treatment arm. There was no evidence that any subgroup would fare better with combination treatment. CONCLUSIONS: No significant difference was detected between the treatment with mitoxantrone as a single agent and the combination of low-dose FEC in terms of response or survival; therefore, the imperative of the necessity of first-line combination chemotherapy for patients with high-risk metastatic breast cancer may be questioned. Since toxicity and quality of life score favored the single-agent mitoxantrone treatment arm, this treatment may be offered to patients preferring quality of life to a potential small prolongation of survival.",1
"Expression of Bcl-2 in node-negative breast cancer is associated with various prognostic factors, but does not predict response to one course of perioperative chemotherapy.","The aim of this study was to assess relationships between Bcl-2 expression, response to chemotherapy and a number of pathological and biological tumour parameters in premenopausal, lymph node-negative breast cancer patients. Expression of Bcl-2 was determined using immunohistochemistry on paraffin-embedded sections in a series of 441 premenopausal, lymph node-negative breast cancers of patients randomised to receive perioperative chemotherapy (5-fluorouracil, doxorubicin, cyclophosphamide) or no perioperative chemotherapy. Immunohistochemistry of Bcl-2 was evaluated by scoring both staining intensity (0-3) and number of positive cells (0-2). Using these scores tumours were grouped into categories 0-6. It was found that 9.2% of the tumours were completely negative (0), 17.2% weakly (1 + 2), 41.6% moderately (3 + 4) and 31.9% strongly positive (5 + 6) for Bcl-2. A positive correlation was found between high Bcl-2 expression and oestrogen (P < 0.001) and progesterone receptor positivity (P < 0.001) and low tumour grade (P < 0.001), whereas high Bcl-2 expression was negatively correlated with p53 (P < 0.001) and c-erb-B-2 positively (P < 0.001), high Ki-67 index (P < 0.001), mitotic index (P < 0.001) and large tumour size (P = 0.006). Patients with tumours expressing high levels of Bcl-2 (overall score 3-6) had a significantly better disease-free (P = 0.004) and overall (P = 0.009) survival. However, in a multivariate model this association no longer remained significant. There was a trend for an effect of adjuvant chemotherapy on disease-free survival both for patients with Bcl-2-positive (HR-0.61, 95% CI 0.35-1.06, P = 0.07) and negative (HR = 0.55, 95% CI 0.27-1.12, P = 0.09) breast tumours at a median follow-up of 49 months. The level of Bcl-2 expression does not seem to predict response to perioperative chemotherapy in premenopausal, lymph node-negative breast cancer patients. High levels of Bcl-2 are preferentially expressed in well-differentiated tumours and are associated with favourable prognosis. However, Bcl-2 expression is not an independent prognostic factor in this patient series.",0
Combination docetaxel/cyclophosphamide in patients with advanced solid tumors.,"Preclinical studies show that docetaxel (Taxotere) and cyclophosphamide (Cytoxan, Neosar) are synergistic against MA 13/C mammary adenocarcinoma. Both agents are highly active as monotherapy in a number of tumors, including metastatic breast cancer. Therefore, we performed a phase I dose-finding study to determine the maximum tolerated dose of this combination regimen in patients with advanced solid tumors. A total of 45 patients were enrolled and received cyclophosphamide followed by docetaxel, both administered as 1-hour intravenous infusions once every 3 weeks. The dose levels of cyclophosphamide/docetaxel were 600/60 mg/m2 (group 0), 600/75 mg/m2 (group I), 700/75 mg/m2 (group 2), 800/75 mg/m2 (group 3), 800/85 mg/m2 (group 4), 800/75 mg/m2 (group 5), and 800/85 mg/m2 (group 6). Patients with dose-limiting neutropenia in groups 5 and 6 received 300 micrograms of granulocyte colony-stimulating factor (G-CSF) (filgrastim [Neupogen]) support on days 2 through 9 during subsequent cycles of chemotherapy. All patients received premedication with 8 mg of dexamethasone twice daily for 5 days, beginning 1 day prior to chemotherapy. The dose-limiting toxicity was neutropenia fever. The recommended dose for phase II studies of cyclophosphamide/docetaxel is 700/75 mg/m2 in previously treated patients and 800/75 mg/m2 in previously untreated patients. G-CSF support did not allow for further dose escalation. Preliminary results from this phase I trial indicate that the combination of docetaxel and cyclophosphamide produced an objective response rate of 69% in 32 patients with metastatic breast cancer (including 3 patients who achieved complete responses).",1
Long-term endometrial effects in postmenopausal women with early breast cancer participating in the Intergroup Exemestane Study (IES)--a randomised controlled trial of exemestane versus continued tamoxifen after 2-3 years tamoxifen.,"BACKGROUND: The antiestrogen tamoxifen may have partial estrogen-like effects on the postmenopausal uterus. Aromatase inhibitors (AIs) are increasingly used after initial tamoxifen in the adjuvant treatment of postmenopausal early breast cancer due to their mechanism of action: a potential benefit being a reduction of uterine abnormalities caused by tamoxifen.PATIENTS AND METHODS: Sonographic uterine effects of the steroidal AI exemestane were studied in 219 women participating in the Intergroup Exemestane Study: a large trial in postmenopausal women with estrogen receptor-positive (or unknown) early breast cancer, disease free after 2-3 years of tamoxifen, randomly assigned to continue tamoxifen or switch to exemestane to complete 5 years adjuvant treatment. The primary end point was the proportion of patients with abnormal (> or =5 mm) endometrial thickness (ET) on transvaginal ultrasound 24 months after randomisation.RESULTS: The analysis included 183 patients. Two years after randomisation, the proportion of patients with abnormal ET was significantly lower in the exemestane compared with tamoxifen arm (36% versus 62%, respectively; P = 0.004). This difference emerged within 6 months of switching treatment (43.5% versus 65.2%, respectively; P = 0.01) and disappeared within 12 months of treatment completion (30.8% versus 34.7%, respectively; P = 0.67).CONCLUSION: Switching from tamoxifen to exemestane significantly reverses endometrial thickening associated with continued tamoxifen.",0
Postoperative radiotherapy in high-risk postmenopausal breast-cancer patients given adjuvant tamoxifen: Danish Breast Cancer Cooperative Group DBCG 82c randomised trial.,"BACKGROUND: Postmastectomy radiotherapy is associated with a lower locoregional recurrence rate and improved disease-free and overall survival when combined with chemotherapy in premenopausal high-risk breast-cancer patients. However, whether the same benefits apply also in postmenopausal women treated with adjuvant tamoxifen for similar high-risk cancer is unclear. In a randomised trial among postmenopausal women who had undergone mastectomy, we compared adjuvant tamoxifen alone with tamoxifen plus postoperative radiotherapy. METHODS: Between 1982 and 1990, postmenopausal women with high-risk breast cancer (stage II or III) were randomly assigned adjuvant tamoxifen (30 mg daily for 1 year) alone (689) or with postoperative radiotherapy to the chest wall and regional lymph nodes (686). Median follow-up was 123 months. The endpoints were first site of recurrence (locoregional recurrence, distant metastases, or both), and disease-free and overall survival. FINDINGS: Locoregional recurrence occurred in 52 (8%) of the radiotherapy plus tamoxifen group and 242 (35%) of the tamoxifen only group (p<0.001). In total there were 321 (47%) and 411 (60%) recurrences, respectively. Disease-free survival was 36% in the radiotherapy plus tamoxifen group and 24% in the tamoxifen alone group (p<0.001). Overall survival was also higher in the radiotherapy group (385 vs 434 deaths; survival 45 vs 36% at 10 years, p=0.03). INTERPRETATION: Postoperative radiotherapy decreased the risk of locoregional recurrence and was associated with improved survival in high-risk postmenopausal breast-cancer patients after mastectomy and limited axillary dissection, with 1 year of adjuvant tamoxifen treatment. Improved survival in high-risk breast cancer can best be achieved by a strategy of both locoregional and systemic tumour control.",0
"Mometasone furoate effect on acute skin toxicity in breast cancer patients receiving radiotherapy: a phase III double-blind, randomized trial from the North Central Cancer Treatment Group N06C4.","PURPOSE: A two-arm, double-blind, randomized trial was performed to evaluate the effect of 0.1% mometasone furoate (MMF) on acute skin-related toxicity in patients undergoing breast or chest wall radiotherapy.METHODS AND MATERIALS: Patients with ductal carcinoma in situ or invasive breast carcinoma who were undergoing external beam radiotherapy to the breast or chest wall were randomly assigned to apply 0.1% MMF or placebo cream daily. The primary study endpoint was the provider-assessed maximal grade of Common Terminology Criteria for Adverse Events, version 3.0, radiation dermatitis. The secondary endpoints included provider-assessed Common Terminology Criteria for Adverse Events Grade 3 or greater radiation dermatitis and adverse event monitoring. The patient-reported outcome measures included the Skindex-16, the Skin Toxicity Assessment Tool, a Symptom Experience Diary, and a quality-of-life self-assessment. An assessment was performed at baseline, weekly during radiotherapy, and for 2 weeks after radiotherapy.RESULTS: A total of 176 patients were enrolled between September 21, 2007, and December 7, 2007. The provider-assessed primary endpoint showed no difference in the mean maximum grade of radiation dermatitis by treatment arm (1.2 for MMF vs. 1.3 for placebo; p = .18). Common Terminology Criteria for Adverse Events toxicity was greater in the placebo group (p = .04), primarily from pruritus. For the patient-reported outcome measures, the maximum Skindex-16 score for the MMF group showed less itching (p = .008), less irritation (p = .01), less symptom persistence or recurrence (p = .02), and less annoyance with skin problems (p = .04). The group's maximal Skin Toxicity Assessment Tool score showed less burning sensation (p = .02) and less itching (p = .002).CONCLUSION: Patients receiving daily MMF during radiotherapy might experience reduced acute skin toxicity compared with patients receiving placebo.",0
