Balance,QualMiles,BonusMiles,BonusTrans,FlightMiles,FlightTrans,DaysSinceEnroll
28143,0,174,1,0,0,7000
19244,0,215,2,0,0,6968
41354,0,4123,4,0,0,7034
14776,0,500,1,0,0,6952
97752,0,43300,26,2077,4,6935
16420,0,0,0,0,0,6942
84914,0,27482,25,0,0,6994
20856,0,5250,4,250,1,6938
443003,0,1753,43,3850,12,6948
104860,0,28426,28,1150,3,6931
40091,0,7278,10,0,0,6959
96522,0,61105,19,0,0,6924
43382,0,11150,20,0,0,6924
43097,0,3258,6,0,0,6918
17648,0,0,0,0,0,6912
28495,0,49442,15,0,0,6912
51890,0,48963,16,0,0,6910
13958,0,4291,5,0,0,6905
91473,0,27408,17,0,0,6903
23354,0,10447,5,0,0,6896
120576,0,58831,23,250,2,6896
185681,2024,13300,16,1800,9,6896
20584,0,3450,11,3450,11,6884
66275,0,2533,11,150,1,6884
205651,500,4025,21,700,4,7932
20726,0,1375,4,0,0,7924
18521,0,1227,2,1227,2,7917
8828,0,0,0,0,0,7914
59763,0,33772,20,100,1,7907
19221,0,4655,8,500,1,7896
177926,0,20797,13,0,0,7886
10021,0,0,0,0,0,7879
276571,0,42044,23,0,0,7872
18047,0,100,1,0,0,7868
43832,0,0,0,0,0,7865
123759,0,50572,23,2500,5,7865
23193,0,650,4,550,3,7861
68666,0,350,2,350,2,7861
59990,0,27878,17,0,0,7854
2176,0,0,0,0,0,7847
34616,0,1750,4,500,1,7850
10470,0,38094,26,0,0,7840
60313,0,10000,26,3250,9,7829
619393,0,15008,14,0,0,7819
121260,0,18493,18,0,0,7808
288865,967,23600,14,2000,4,6884
92336,0,11214,6,0,0,6884
36924,0,5900,6,300,2,6879
70312,0,34678,24,500,1,6875
17051,0,1150,4,1150,4,6868
108137,0,6368,5,6368,5,6844
1300,0,370,1,0,0,6868
118531,0,44577,38,0,0,6868
121395,0,4970,8,650,2,6889
38348,0,0,0,0,0,6861
14448,0,1625,6,0,0,6856
75971,0,34339,14,0,0,6869
36298,0,3100,5,600,3,6865
38077,0,34024,8,0,0,6837
95118,0,23188,23,2200,7,6865
134457,0,15588,14,0,0,6861
19918,0,17601,11,0,0,6863
10120,0,0,0,0,0,6864
362642,0,28079,8,0,0,6835
80250,0,895,2,0,0,6833
53914,0,33767,45,5550,29,6826
9375,0,1750,7,0,0,6826
83237,0,35287,18,0,0,6837
230715,0,24047,12,0,0,6826
47457,0,12621,16,0,0,7766
84409,5031,15436,16,1150,4,7766
252386,0,39787,13,0,0,7787
550367,0,12500,13,50,1,7801
12646,0,631,4,631,4,7787
123867,0,25308,17,0,0,7759
129871,0,15776,22,0,0,7752
109380,0,7537,16,0,0,7749
111157,0,32883,19,0,0,7771
49238,0,38037,18,0,0,7801
38896,0,76988,16,556,1,7771
4340,0,32685,5,0,0,7733
88443,0,1200,3,1200,3,6837
8454,0,498,9,0,0,6821
61990,0,1625,6,0,0,6833
24093,0,1750,7,0,0,6819
35418,0,58557,18,900,3,6813
40284,0,7719,5,0,0,6827
609477,0,21422,22,1200,8,6820
62553,0,7672,16,700,1,6819
48433,0,3500,4,500,1,6807
20508,0,22250,8,1250,5,6794
2000,0,2000,4,2000,4,6809
78629,0,36679,25,0,0,6817
143566,0,5000,5,1500,3,6785
185549,0,110859,39,2950,16,6778
16796,0,2875,16,0,0,6773
57346,0,5560,23,0,0,6766
102062,0,44247,16,0,0,6758
22324,0,1375,4,0,0,6753
64824,0,20184,13,0,0,6770
25076,1182,57203,14,0,0,6750
8053,0,0,0,0,0,6750
35119,0,0,0,0,0,6749
28667,0,3861,7,2050,5,6749
34327,0,0,0,0,0,6745
3734,0,61096,18,150,2,6760
96627,1182,49059,26,2300,9,6738
43498,0,0,0,0,0,6759
84674,0,46335,14,50,1,6738
15098,0,32917,26,550,3,6737
181019,0,18415,15,0,0,7714
298911,0,8550,11,2550,8,7714
124198,0,66330,23,4833,10,7710
56906,0,2015,13,0,0,7707
295638,0,5422,20,818,2,7700
67018,0,23260,25,0,0,7698
143967,0,7346,11,0,0,7689
969559,0,2500,3,1000,2,7718
122705,0,24222,15,0,0,7682
16583,0,2625,7,0,0,7682
77540,0,1000,1,0,0,7683
205126,0,126630,45,2250,10,7668
81974,0,37266,18,1050,3,7661
47258,0,24768,19,0,0,7659
77699,0,42775,13,0,0,7654
133954,500,37670,18,1500,3,7654
602064,0,194753,26,2250,10,7652
213150,0,56308,41,5200,14,7645
48333,0,10123,14,0,0,6737
142175,0,37461,22,0,0,6732
17469,0,0,0,0,0,6730
19823,0,1095,3,335,1,6730
145074,0,8000,4,0,0,6746
101101,0,10850,11,1850,6,6725
125948,0,15155,15,0,0,6761
259484,1776,19172,26,7172,23,6723
129298,0,29099,15,0,0,6722
103302,0,53552,22,700,3,6718
160447,0,8578,25,0,0,6716
15472,0,3500,14,0,0,6715
39628,0,0,0,0,0,6711
6112,0,0,0,0,0,6709
31769,0,450,2,450,2,6707
126787,0,35021,17,0,0,6701
41547,0,16857,17,0,0,6697
100640,0,7600,8,1600,5,6708
18707,0,100,1,0,0,6693
50593,0,58208,17,1500,2,6689
84631,0,20415,17,0,0,6736
24868,0,205,5,0,0,6689
77097,0,42403,22,1718,4,6683
930410,0,211284,18,2250,6,7640
298121,0,60808,20,500,1,7640
87474,0,4581,15,0,0,7634
48707,0,37655,14,0,0,7631
220081,0,52574,21,500,1,7626
212976,0,19926,12,0,0,7624
44182,0,12313,12,0,0,7619
228829,0,59852,21,0,0,7612
46823,0,5860,12,0,0,7613
69110,0,18500,19,0,0,7598
120700,0,55323,17,1500,1,7598
152945,0,18604,6,3604,2,7598
10302,0,30298,19,0,0,7591
80331,0,15489,18,0,0,7634
69882,0,180,6,0,0,7582
95658,0,5269,18,0,0,7584
402874,0,74800,15,0,0,7582
370941,0,44615,16,0,0,7577
21694,0,45230,20,700,2,7575
71767,0,67335,13,0,0,7570
35820,0,0,0,0,0,7575
352508,0,23740,6,1000,2,7563
149285,0,15656,13,3250,6,7561
120941,0,42301,21,0,0,7588
451673,0,43533,19,900,4,7575
106961,0,7357,19,200,2,7572
28086,1745,7368,12,0,0,7549
60230,0,500,1,0,0,7544
6663,0,1125,7,750,4,7575
48145,0,10735,27,0,0,7540
127807,0,17086,16,1500,3,7537
32948,0,50,1,50,1,7569
8933,0,8860,14,0,0,7533
49885,0,23640,17,0,0,7533
89999,0,11694,13,0,0,7530
707079,0,57173,40,3450,12,7523
