Tweet,Avg
"I have to say, Apple has by far the best customer care service I have ever received! @Apple @AppStore",2
iOS 7 is so fricking smooth & beautiful!! #ThanxApple @Apple,2
LOVE U @APPLE,1.8
"Thank you @apple, loving my new iPhone 5S!!!!!  #apple #iphone5S pic.twitter.com/XmHJCU4pcb",1.8
.@apple has the best customer service. In and out with a new phone in under 10min!,1.8
@apple ear pods are AMAZING! Best sound from in-ear headphones I've ever had!,1.8
Omg the iPhone 5S is so cool it can read your finger print to unlock your iPhone 5S and to make purchases without a passcode #Apple @Apple,1.8
the iPhone 5c is so beautiful <3 @Apple,1.6
#AttributeOwnership is exactly why @apple will always be #one! #apple #marketing #marketer #business #innovation #fb,1.6
Just checked out the specs on the new iOS 7...wow is all I have to say! I can't wait to get the new update ?? Bravo @Apple,1.6
I love the new iOS so much!!!!! Thnx @apple @phillydvibing,1.6
Can't wait to get my #Iphone5S!!! @apple,1.6
@V2vista Fingerprint scanner: The killer feature of iPhone 5S. This is so bloody brilliant. @apple @timesnow http://toi.in/W0o-3Z,1.6
Interesting  how so  many people seem to be almost willing the demise of @Apple. What's going on? Still by far my favorite #brand. Fantastic,1.6
I LOVE @BNBuzz @NOOKstudy @nookBN and @apple made my life so much easier this morning !,1.6
"Just watched the keynote of @apple latest iPhones. I just love the #iPhone5S and #iphone5c ??? I guess, i have a christmas gift already????",1.6
My iPhone wasn't calling correctly so I went to an @apple store (first time) told them and they gave me a brand new phone. #wow,1.4
Great job @apple on providing best users experience #thinkauto,1.4
Swapped my #galaxys2 for an #iPhone4S. After one day I'd say I'm an @apple convert!,1.4
Can't wait for my #orange phone upgrade in November :-) #apple iPhone 5s here I come ;-) @OrangeHelpers @apple,1.4
#colored #iphone! The new 5C iphone comes in colors. I love this!! Can't wait till i can get one! #apple @apple #iphone5c,1.4
"Whether you're an @apple fan or not, this iPhone 5C video is worth watching, for lots of reasons http://bit.ly/18YbjLQ  #lovegreatdesign",1.4
"@apple Impressive features on the Iphone 5s - fingerprint recognition, now thats impressive!!! :)",1.4
@KuqoGroup @jimmykimmel @BlackBerry @Apple that is unbelievably awesome!!!!! #clickitandlickit,1.4
"EarPods are amazing, thanks @Apple",1.4
In luv with the iPhone 5s luv the champagne colour and the fingerprint reader @apple,1.2
Used @Apple TV and @explainevrythng to demonstrate student understanding of factors!  Awesome!,1.2
@brody_knibbs haha mint arent they! top company @apple,1.2
"I'm back yaw, Thanks to @Apple !!!!!",1.2
