#city
#Jan. temp (F)
#April temp (F)
#July temp (F)
#Oct. temp (F)
#annual precipitation (inches)
#annual precipitation (days)
#end
Albany,22.2,46.6,71.1,49.3,38.60,136
Albuquerque,35.7,55.6,78.5,57.3,9.47,60
Anchorage,15.8,36.3,58.4,34.1,16.08,115
Asheville,35.8,54.1,73.0,55.2,47.07,126
Atlanta,42.7,61.6,80.0,62.8,50.20,115
AtlantiCity,32.1,50.6,75.3,55.1,40.59,113
Austin,50.2,68.3,84.2,70.6,33.65,85
Baltimore,32.3,53.2,76.5,55.4,41.94,115
BatonRouge,50.1,66.6,81.7,68.1,63.08,110
Billings,24.0,46.1,72.0,48.1,14.77,96
Birmingham,42.6,61.3,80.2,62.9,53.99,117
Bismarck,10.2,43.3,70.4,45.2,16.84,96
Boise,30.2,50.6,74.7,52.8,12.19,89
Boston,29.3,48.3,73.9,54.1,42.53,127
Bridgeport,29.9,48.9,74.0,54.7,44.15,119
Buffalo,24.5,45.3,70.8,50.7,40.54,169
Burlington,18.0,43.5,70.6,47.7,36.05,154
Caribou,9.5,38.1,65.6,42.8,37.44,161
Casper,22.3,42.7,70.0,45.7,13.03,94
Charleston,47.9,64.2,81.7,66.2,51.53,114
Charleston,33.4,54.3,73.9,55.1,44.05,151
Charlotte,41.7,60.9,80.3,61.7,43.51,112
Cheyenne,25.9,41.6,67.7,45.4,15.45,100
Chicago,22.0,47.8,73.3,52.1,36.27,125
Cleveland,25.7,47.6,71.9,52.2,38.71,155
Columbia,44.6,63.2,82.0,63.7,48.27,109
Columbus,28.3,52.0,75.1,54.7,38.52,137
Concord,20.1,44.6,70.0,47.8,37.60,127
Dallas,44.1,65.0,85.0,67.2,34.73,79
Denver,29.2,47.6,73.4,51.0,15.81,89
DesMoines,20.4,50.6,76.1,52.8,34.72,108
Detroit,24.5,48.1,73.5,51.9,32.89,135
DodgeCity,30.1,53.9,79.8,57.1,22.35,78
Duluth,8.4,39.0,65.5,43.5,31.00,134
ElPaso,45.1,64.6,83.3,64.9,9.43,49
Fairbanks,-9.7,31.7,62.4,23.5,10.34,106
Fargo,6.8,43.5,70.6,45.3,21.19,101
GrandJunction,26.1,50.9,76.8,52.7,8.99,72
GrandRapids,22.4,46.3,71.4,49.9,37.13,144
Hartford,25.7,48.9,73.7,51.9,46.16,128
Helena,20.2,44.1,67.8,44.8,11.32,95
Honolulu,73.0,75.6,80.8,80.2,18.29,96
Houston,51.8,68.5,83.6,70.4,47.84,105
Indianapolis,26.5,52.0,75.4,54.6,40.95,126
Jackson,45.0,63.4,81.4,64.4,55.95,110
Jacksonville,53.1,66.6,81.6,69.4,52.34,116
KansasCity,26.9,54.4,78.5,56.8,37.98,104
Knoxville,37.6,57.8,77.7,58.8,48.22,127
LasVegas,47.0,66.0,91.2,68.7,4.49,26
Lexington,32.0,54.6,76.1,56.6,45.91,130
LittleRock,40.1,61.4,82.4,63.3,50.93,104
LongBeach,57.0,63.0,73.8,68.6,12.94,31
LosAngeles,57.1,60.8,69.3,66.9,13.15,35
Louisville,33.0,56.4,78.4,58.5,44.54,124
Madison,17.3,45.9,71.6,49.3,32.95,120
Memphis,39.9,62.1,82.5,63.8,54.65,107
Miami,68.1,75.7,83.7,78.8,58.53,131
Milwaukee,20.7,45.2,72.0,51.4,34.81,125
Minneapolis,13.1,46.6,73.2,48.7,29.41,115
Mobile,50.1,66.1,81.5,67.7,66.29,121
Montgomery,46.6,64.3,81.8,65.4,54.77,108
Nashville,36.8,58.5,79.1,59.9,48.11,119
Newark,31.3,52.3,77.2,56.4,46.25,122
NewOrleans,52.6,68.2,82.7,70.0,64.16,114
NewYork,32.1,52.5,76.5,56.6,49.69,121
Norfolk,40.1,57.4,79.1,61.1,45.74,116
OklahomaCity,36.7,59.7,82.0,62.0,35.85,83
Olympia,38.1,47.4,62.8,49.7,50.79,163
Omaha,21.7,51.4,76.7,53.2,30.22,99
Philadelphia,32.3,53.1,77.6,57.2,42.05,117
Phoenix,54.2,70.2,92.8,74.6,8.29,36
Pittsburgh,27.5,49.9,72.6,52.5,37.85,152
PortlandME,21.7,43.7,68.7,47.7,45.83,129
PortlandOR,39.9,51.2,68.1,54.3,37.07,153
Providence,28.7,48.6,73.3,53.0,46.45,124
Raleigh,39.7,59.1,78.8,60.0,43.05,113
Reno,33.6,48.6,71.3,52.0,7.48,51
Richmond,36.4,57.1,77.9,58.3,43.91,114
Roswell,40.0,60.5,80.8,61.4,13.34,54
Sacramento,46.3,58.9,75.4,64.4,17.93,58
SaltLakeCity,29.2,50.0,77.0,52.5,16.50,91
SanAntonio,50.3,68.6,84.3,70.7,32.92,82
SanDiego,57.8,62.6,70.9,67.6,10.77,41
SanFrancisco,49.4,56.2,62.8,61.0,20.11,63
Savannah,49.2,65.3,82.1,67.1,49.58,111
Seattle,40.9,50.2,65.3,52.7,37.07,155
SiouxFalls,14.0,45.7,73.0,48.0,24.69,98
Spokane,27.3,46.5,68.6,47.2,16.67,112
Springfield,25.1,52.8,76.3,55.5,35.56,113
StLouis,29.6,56.6,80.2,58.3,38.75,111
Tampa,61.3,71.5,82.5,75.8,44.77,106
Toledo,23.9,48.3,73.0,51.8,33.21,134
Tucson,51.7,66.0,86.5,70.5,12.17,53
Tulsa,36.4,60.8,83.5,62.6,42.42,91
VeroBeach,63.0,71.5,81.7,76.4,51.93,126
Washington,34.9,56.1,79.2,58.8,39.35,113
Wichita,30.2,55.3,81.0,58.6,30.38,85
Wilmington,31.5,52.4,76.6,55.8,42.81,117
