"category_id";"parent_id";"name";"link_url"
925;1212;"Сушилки для обуви";"http://e96.ru/household_appliances/washing/sushilki_dlya_obuvi"
776;683;"Футбол";"http://e96.ru/sporting_goods/football"
735;1175;"Комоды для ванн";"http://e96.ru/furniture/bathroom/komody_dlja_vann"
1513;1504;"Домики для собак";"http://e96.ru/zootovary/tovary_dlja_sobak/domiki_dlja_sobak"
1357;1086;"Кувалды";"http://e96.ru/tools/hand_tools/kuvaldy"
530;1037;"Погремушки";"http://e96.ru/kids/goods_for_newborns/pogremushki"
1061;1015;"Садовые диваны и кресла";"http://e96.ru/garden_cottage/furniture_for_garden/sadovye_divany_i_kresla"
1015;1007;"Мебель для дачи";"http://e96.ru/garden_cottage/furniture_for_garden"
999;175;"Оптические приборы";"http://e96.ru/tourism/optical_devices"
706;1002;"Термобелье";"http://e96.ru/tourism/travel_gear/termobele"
532;1041;"Игрушки-рукавички";"http://e96.ru/kids/toys/igrushki_rukavichki"
7;1158;"Кронштейны для телевизоров";"http://e96.ru/audio_video/tv/kronshteyny_dlya_tv"
1253;1252;"Электрические наборы для фондю";"http://e96.ru/kitchen_appliance/parties/elektricheskie_nabory_dlya_fondyu"
312;1113;"Блоки питания";"http://e96.ru/computers/accessories/bloki_pitanija"
1841;1202;"Датчики для домашней сигнализации";"http://e96.ru/household_appliances/video_monitoring/datchiki_dlya_domashney_signalizacii"
982;1344;"Одеяла";"http://e96.ru/furniture/bedroom/odeyala"
1170;1157;"Blu-ray плееры";"http://e96.ru/audio_video/video_players/blu_ray_pleery"
528;1039;"Санки и снегокаты";"http://e96.ru/kids/children_transport/sanki"
1528;1189;"Печи для дома";"http://e96.ru/climat/heating/pechi_dlya_doma"
467;1005;"Принадлежности для гриля";"http://e96.ru/tourism/grills_barbecue/prinadlezhnosti_dlja_grilja"
1670;1036;"Пеленальные матрасы";"http://e96.ru/kids/furniture_and_accessories/pelenalnye_matrasy"
1085;129;"Средства индивидуальной защиты";"http://e96.ru/tools/personal_protective_equipment"
1156;1;"Акустика и аудиосистемы";"http://e96.ru/audio_video/audio"
1814;1156;"Электрогитары";"http://e96.ru/audio_video/audio/elektrogitary"
50;1136;"Автомагнитолы";"http://e96.ru/avto/autosound/avtomagnitoly"
362;1196;"Гладильные прессы";"http://e96.ru/household_appliances/ironing/gladilnye_pressy"
432;1177;"Клавиши для систем инсталляции";"http://e96.ru/sanitary_engineering/installation_systems/knopki_dlja_installjacii"
501;1015;"Раскладушки";"http://e96.ru/garden_cottage/furniture_for_garden/raskladushki"
468;1093;"Маски сварочные";"http://e96.ru/tools/power_equipment/maski_svarochnye"
1525;998;"Весла";"http://e96.ru/tourism/boats_and_motors/vesla"
1571;1570;"Гостиная IKEA";"http://e96.ru/ikea/gostinaya_ikea"
869;868;"Коньки для фигурного катания";"http://e96.ru/sporting_goods/ice_skating/konki_dlya_figurnogo_kataniya"
1509;1503;"Домики для кошек";"http://e96.ru/tovary_dlja_koshek/domiki_dlja_koshek"
1153;1;"Проекционное оборудование";"http://e96.ru/audio_video/projectors"
1374;46;"Аксессуары для вытяжек";"http://e96.ru/built_in/aksessuary_dlya_vytyajek"
471;1085;"Защитные маски";"http://e96.ru/tools/personal_protective_equipment/zashhitnye_maski"
1282;1344;"Кровати";"http://e96.ru/furniture/bedroom/krovati"
269;1106;"Зарядные устройства для сотовых телефонов";"http://e96.ru/phones/chargers_and_batteries_for_phones/zarjadnye_ustrojjstva"
285;1111;"Чехлы для электронных книг";"http://e96.ru/computers/el_books_readers/chekhly_dlja_ehlektronnykh_knig"
63;1209;"Электрические зубные щетки";"http://e96.ru/household_appliances/toothbrushes/elektricheskie_zubnye_shhetki"
1;NA;"Аудио, видео";"http://e96.ru/audio_video"
1043;304;"Развивающие игры";"http://e96.ru/kids/educational_games"
1384;NA;"Отделочные материалы";"http://e96.ru/finishes"
1453;1203;"Песочные часы";"http://e96.ru/household_appliances/presents/pesochnye_chasy"
