"externalsessionid";"timestamp";"eventdate";"duration";"category_id"
36698;1454858169677;"2016-02-07";358;856
37991;1456674271581;"2016-02-28";2584;86
37991;1456674090963;"2016-02-28";1194;82
11116;1462170185749;"2016-05-02";1060;420
35428;1462268392232;"2016-05-03";2149;1066
35428;1462268080067;"2016-05-03";2841;1066
35428;1462267932349;"2016-05-03";489;1007
35428;1462267624625;"2016-05-03";2122;1066
75733;1461761687794;"2016-04-27";1154;324
75733;1461762329362;"2016-04-27";1707;336
75733;1461761839698;"2016-04-27";853;304
89975;1459177096556;"2016-03-28";1136;1384
68887;1460135436099;"2016-04-08";553;1342
68887;1460135013624;"2016-04-08";574;1342
68887;1460138967326;"2016-04-08";1525;1284
62566;1461855446201;"2016-04-28";3083;232
62566;1461860271646;"2016-04-28";2862;40
62566;1461855101231;"2016-04-28";1627;232
62566;1461859633791;"2016-04-28";3262;902
62566;1461857228201;"2016-04-28";421;921
62566;1461860050437;"2016-04-28";1025;1136
62566;1461854933354;"2016-04-28";352;1271
60134;1457780242269;"2016-03-12";3157;35
60134;1457778148581;"2016-03-12";2386;35
38658;1463935101086;"2016-05-22";1125;7
59674;1456070964434;"2016-02-21";2600;18
10135;1463501663672;"2016-05-17";2357;62
10135;1463500413929;"2016-05-17";1418;62
10135;1463501274020;"2016-05-17";1375;62
10135;1463501068649;"2016-05-17";1074;62
27408;1456469832351;"2016-02-26";160;1108
20870;1462211052185;"2016-05-02";1533;1225
23092;1464587553148;"2016-05-30";871;210
53142;1464021820969;"2016-05-23";2597;12
53142;1464271969782;"2016-05-26";1393;976
53142;1463983138234;"2016-05-23";740;1598
53142;1464021470991;"2016-05-23";981;976
53142;1464021775700;"2016-05-23";4013;1156
53142;1464094631072;"2016-05-24";3407;12
90109;1463211646074;"2016-05-14";1145;848
90109;1463212388780;"2016-05-14";1520;848
90109;1463305489640;"2016-05-15";899;848
90109;1463308171153;"2016-05-15";1087;848
90109;1463212741179;"2016-05-14";1009;848
90109;1463307918272;"2016-05-15";2131;848
48097;1458635026933;"2016-03-22";2210;407
48097;1458634784667;"2016-03-22";2151;407
14372;1460373473985;"2016-04-11";3994;21
14372;1460373942887;"2016-04-11";4074;21
64190;1460143552104;"2016-04-08";988;860
64190;1460144886265;"2016-04-08";1502;860
59716;1461485458853;"2016-04-24";496;1596
59716;1461487045964;"2016-04-24";1423;228
34905;1464625277367;"2016-05-30";2669;324
31135;1461683283853;"2016-04-26";192;1151
63608;1463998628080;"2016-05-23";350;1339
63608;1463998509539;"2016-05-23";513;858
94185;1461694349764;"2016-04-26";1425;130
94185;1463079931723;"2016-05-12";4162;130
94185;1461522436885;"2016-04-24";2896;130
94185;1461172677493;"2016-04-20";1210;163
94185;1460398508105;"2016-04-11";5896;131
37630;1464612073528;"2016-05-30";2059;699
37630;1464611929563;"2016-05-30";3010;327
21009;1460280510299;"2016-04-10";675;1575
21009;1460280096199;"2016-04-10";763;1575
18422;1454915871138;"2016-02-08";849;28
18422;1454916470722;"2016-02-08";1292;28
28432;1462965949365;"2016-05-11";232;54
28432;1462966950389;"2016-05-11";795;61
28432;1462966830558;"2016-05-11";1763;18
71681;1461493157619;"2016-04-24";1259;127
71681;1461492448165;"2016-04-24";367;127
98633;1460253838877;"2016-04-10";938;129
5154;1458475675927;"2016-03-20";2502;234
63913;1458811635653;"2016-03-24";632;26
63913;1458814058440;"2016-03-24";706;26
