"externalsessionid";"timestamp";"eventdate";"ordernumber";"pricecents";"totalcents";"quantity";"product_id"
98116;1462608239427;"2016-05-07";64735;2120;2120;1;49
77259;1456576112598;"2016-02-27";54213;140;140;1;434
66019;1458558480457;"2016-03-21";85664;771;771;1;442
49928;1462621520923;"2016-05-07";96158;771;771;1;442
82891;1454747015246;"2016-02-06";48799;3517;3517;1;693
66732;1458045802239;"2016-03-15";46199;541;541;1;716
42197;1455255479506;"2016-02-12";52080;184;184;1;739
13362;1459313719893;"2016-03-30";70900;272;272;1;840
27191;1443686237826;"2015-10-01";28819;891;891;1;1350
27931;1459678814250;"2016-04-03";98051;891;891;1;1350
99417;1458476378201;"2016-03-20";77242;58;58;1;1448
75742;1454995964512;"2016-02-09";57957;1031;1031;1;1692
98141;1461685700703;"2016-04-26";28893;189;189;1;1698
16388;1454054200851;"2016-01-29";4792;4390;4390;1;1906
41031;1458034591719;"2016-03-15";50733;2896;2896;1;2160
13863;1457183385223;"2016-03-05";77084;1209;1209;1;2252
77088;1458482328506;"2016-03-20";9122;1209;1209;1;2252
41771;1464182614702;"2016-05-25";74951;1209;1209;1;2252
79266;1459069055424;"2016-03-27";41518;1333;1333;1;2269
44620;1462027040570;"2016-04-30";81928;278;278;1;2917
95895;1460461072893;"2016-04-12";38286;488;488;1;3176
18523;1461052067122;"2016-04-19";18308;488;488;1;3176
42075;1458756676092;"2016-03-23";59978;1097;1097;1;3286
40875;1459365525455;"2016-03-30";32797;1097;1097;1;3286
40875;1459366784187;"2016-03-30";44273;1097;1097;1;3286
47525;1461565097700;"2016-04-25";77150;1097;1097;1;3286
53374;1458732324434;"2016-03-23";29918;1314;1314;1;3786
61190;1458027944384;"2016-03-15";99035;228;228;1;4063
43752;1457342009515;"2016-03-07";43560;1184;1184;1;4158
28433;1462543507573;"2016-05-06";46981;175;175;1;4166
90677;1464516662398;"2016-05-29";70609;443;443;1;4421
10271;1462691320897;"2016-05-08";97090;709;709;1;4491
41490;1460901423887;"2016-04-17";21313;465;465;1;4624
67117;1460395641384;"2016-04-11";84021;792;792;1;4712
30730;1461752661124;"2016-04-27";71635;792;792;1;4712
26651;1463219988709;"2016-05-14";58096;792;792;1;4712
10031;1460047244458;"2016-04-07";54574;263;263;1;5452
10031;1460049950737;"2016-04-07";81098;263;263;1;5452
91058;1455691181001;"2016-02-17";93321;313;313;1;6763
97914;1456422180948;"2016-02-25";38155;446;446;1;6828
27460;1457750180265;"2016-03-12";58770;2539;2539;1;6860
92858;1454751671260;"2016-02-06";46053;410;410;1;6901
57005;1461172230372;"2016-04-20";52264;1097;1097;1;6966
36349;1463039074702;"2016-05-12";66035;989;989;1;7110
64465;1460196905229;"2016-04-09";53178;258;258;1;7197
83190;1459855764057;"2016-04-05";86726;495;495;1;7280
82928;1460881931470;"2016-04-17";54992;136;136;1;7694
62626;1458222380568;"2016-03-17";23230;635;635;1;8014
78238;1462772130328;"2016-05-09";78013;516;516;1;8089
66502;1457689477561;"2016-03-11";43254;405;405;1;8134
19561;1460437612100;"2016-04-12";26159;446;892;2;8681
26483;1461088816201;"2016-04-19";51488;3281;3281;1;8736
14736;1456970213446;"2016-03-03";45025;269;269;1;8784
47532;1459362946629;"2016-03-30";16223;1113;1113;1;8819
48328;1459347913092;"2016-03-30";86250;163;326;2;8830
4385;1460697539885;"2016-04-15";52203;838;838;1;8859
1358;1460783512575;"2016-04-16";21640;838;838;1;8859
83132;1462774628896;"2016-05-09";77703;838;838;1;8859
41518;1459100683695;"2016-03-27";53961;704;704;1;8990
70345;1458280148419;"2016-03-18";35657;317;634;2;9007
25477;1464695094625;"2016-05-31";85643;481;481;1;9016
99636;1464243563288;"2016-05-26";7084;425;425;1;9295
88901;1440335121274;"2015-08-23";50747;134;134;1;9895
67548;1455858508442;"2016-02-19";95070;228;228;1;10485
46705;1458546127073;"2016-03-21";61777;3126;3126;1;10632
97112;1459771159684;"2016-04-04";63101;3126;3126;1;10632
13869;1458548582185;"2016-03-21";50515;549;549;1;10785
94971;1462361867310;"2016-05-04";52321;596;596;1;10831
94381;1461752264210;"2016-04-27";56983;300;300;1;10874
70338;1462652189664;"2016-05-07";56506;357;357;1;10917
1924;1456999633651;"2016-03-03";45214;491;1964;4;10946
52215;1461122621784;"2016-04-20";40470;491;1964;4;10946
55433;1459421221909;"2016-03-31";9734;609;609;1;11117
8194;1453260070177;"2016-01-20";21039;10441;10441;1;11607
22667;1463084366591;"2016-05-12";51600;996;996;1;11832
49191;1460651693197;"2016-04-14";93246;254;254;1;11980
66502;1457689477561;"2016-03-11";43254;5293;5293;1;11981
38762;1458751987960;"2016-03-23";67866;1323;1323;1;12147
98472;1460438910936;"2016-04-12";21910;776;3104;4;12236
50483;1463377236648;"2016-05-16";61766;251;251;1;12661
24017;1463582834682;"2016-05-18";27578;855;855;1;12824
8713;1462257089900;"2016-05-03";80529;1046;1046;1;12924
88367;1457785865861;"2016-03-12";36923;709;709;1;13119
92309;1463109146155;"2016-05-13";87246;1121;1121;1;13144
92309;1463069759812;"2016-05-12";87246;1121;1121;1;13144
92309;1463226917034;"2016-05-14";87246;1121;1121;1;13144
58952;1457628173531;"2016-03-10";89886;1409;1409;1;13542
14898;1461957344793;"2016-04-29";98362;592;2368;4;13657
80706;1452577560435;"2016-01-12";14278;338;338;1;13700
61546;1460955189860;"2016-04-18";45227;207;207;1;13736
95895;1460461072893;"2016-04-12";38286;298;298;1;13812
64048;1464615433458;"2016-05-30";51068;867;867;1;13869
21576;1457971039962;"2016-03-14";65939;1333;1333;1;14263
8014;1440071646677;"2015-08-20";77852;765;765;1;14296
41763;1460203710465;"2016-04-09";55317;207;207;1;14535
67869;1460092339960;"2016-04-08";17437;2304;2304;1;15288
88326;1457627603114;"2016-03-10";68227;296;296;1;15377
97174;1456940248653;"2016-03-02";43150;2106;2106;1;15708
74467;1460666954991;"2016-04-14";66770;2106;2106;1;15708
10885;1463824363333;"2016-05-21";73792;588;2352;4;15958
5470;1448289132287;"2015-11-23";53899;383;383;1;16204
72595;1458201280459;"2016-03-17";61851;1003;1003;1;16666
80456;1462121874616;"2016-05-01";98301;530;530;1;16672
58276;1464326929657;"2016-05-27";56872;428;428;1;16679
32294;1457455330510;"2016-03-08";33169;449;449;1;16787
12072;1456298218031;"2016-02-24";62572;1075;1075;1;16796
89997;1458913976762;"2016-03-25";87361;1438;1438;1;17213
3822;1461487007171;"2016-04-24";78555;1031;1031;1;17402
89224;1464548401977;"2016-05-29";25696;229;229;1;17442
27555;1454652317463;"2016-02-05";68958;385;385;1;17497
94437;1459675308626;"2016-04-03";1034;904;904;1;17593
10534;1463466796773;"2016-05-17";43495;385;385;1;17622
64477;1461759466253;"2016-04-27";11509;512;2048;4;17736
38569;1461930054675;"2016-04-29";46915;393;393;1;17886
27477;1456918726383;"2016-03-02";3896;996;996;1;18147
67986;1461487432277;"2016-04-24";52428;2195;2195;1;18993
24689;1452951996878;"2016-01-16";18684;163;163;1;19082
99111;1453377017516;"2016-01-21";29041;236;236;1;19091
83197;1459848396586;"2016-04-05";25563;1269;1269;1;19143
70718;1463895982604;"2016-05-22";33245;1574;1574;1;19668
86651;1449337459075;"2015-12-05";59398;776;776;1;19722
79990;1453949283187;"2016-01-28";42312;855;855;1;19743
92943;1458225515020;"2016-03-17";42918;695;695;1;19936
82794;1455897540038;"2016-02-19";70283;695;695;1;19936
30226;1458828319850;"2016-03-24";58653;917;917;1;20051
32415;1463485531399;"2016-05-17";91773;360;360;1;20063
28688;1453132224071;"2016-01-18";33093;300;300;1;20199
40405;1457877953588;"2016-03-13";54669;1075;1075;1;20466
78967;1455302406133;"2016-02-12";84258;1105;1105;1;20535
99528;1461216574286;"2016-04-21";33219;1428;1428;1;20704
23873;1460100924048;"2016-04-08";41962;1808;1808;1;20902
29276;1461611582494;"2016-04-25";3287;1808;1808;1;20902
36897;1464764358119;"2016-06-01";90564;1808;1808;1;20902
59024;1458635388116;"2016-03-22";85283;345;345;1;21379
92858;1454696569401;"2016-02-05";32996;4153;4153;1;21401
49924;1457804166826;"2016-03-12";22225;657;657;1;21474
56166;1458928641444;"2016-03-25";31052;4012;4012;1;21484
80980;1457608758572;"2016-03-10";6179;174;174;1;21659
45409;1460507212317;"2016-04-13";73550;174;348;2;21659
40556;1461531615568;"2016-04-25";97928;174;348;2;21659
40556;1461530223564;"2016-04-24";97928;174;348;2;21659
11425;1461931914098;"2016-04-29";84458;1552;1552;1;22001
57928;1457261040663;"2016-03-06";78930;282;282;1;22190
61012;1454859348343;"2016-02-07";98687;267;267;1;22222
23263;1456504130864;"2016-02-26";42565;495;990;2;22432
77450;1457371797697;"2016-03-07";24194;1090;1090;1;22516
66858;1462615379992;"2016-05-07";34391;428;2996;7;22528
85150;1457165950076;"2016-03-05";3367;428;428;1;22758
1238;1460884329973;"2016-04-17";8582;357;357;1;23037
59123;1459671458948;"2016-04-03";89118;302;302;1;23249
77130;1464280937821;"2016-05-26";95091;553;553;1;23271
98;1462371042319;"2016-05-04";88204;1152;1152;1;23353
22021;1459577702640;"2016-04-02";12974;849;849;1;23415
69946;1459838124270;"2016-04-05";36172;820;820;1;23456
14026;1456943376396;"2016-03-02";39827;704;704;1;23510
32286;1459582549032;"2016-04-02";27859;1010;2020;2;23547
61373;1456607989805;"2016-02-28";45972;855;855;1;23603
41863;1463993190762;"2016-05-23";38;385;385;1;23841
55431;1453372839388;"2016-01-21";23663;1218;1218;1;24027
54552;1464698965804;"2016-05-31";52381;180;180;1;24045
73132;1455783989550;"2016-02-18";77052;317;3170;10;24268
18001;1462137178399;"2016-05-02";5003;2759;2759;1;24408
47200;1458157380783;"2016-03-16";56366;440;440;1;24501
17174;1461754420104;"2016-04-27";19933;425;425;1;24556
90677;1464516662398;"2016-05-29";70609;425;425;1;24556
68357;1460917715500;"2016-04-17";3493;402;402;1;24654
22428;1461732600950;"2016-04-27";66278;771;771;1;24760
61373;1456607989805;"2016-02-28";45972;744;744;1;24800
30658;1456342114598;"2016-02-24";25072;820;820;1;25084
82658;1457886176254;"2016-03-13";36498;530;530;1;25176
50346;1459683346359;"2016-04-03";51306;343;343;1;25208
73353;1460812813101;"2016-04-16";37496;271;271;1;25221
70880;1458571843664;"2016-03-21";42647;284;284;1;25304
17247;1455253403861;"2016-02-12";88284;1305;1305;1;25371
27896;1458563269591;"2016-03-21";25895;1305;1305;1;25371
71384;1458624803552;"2016-03-22";74162;1305;1305;1;25371
46029;1464331337656;"2016-05-27";8754;1305;1305;1;25371
20642;1464761185599;"2016-06-01";28711;1305;1305;1;25371
64937;1460369375568;"2016-04-11";54644;792;792;1;25604
20788;1455893897407;"2016-02-19";47314;2435;2435;1;25645
76897;1452530739011;"2016-01-11";7679;962;962;1;25852
79485;1455954395253;"2016-02-20";87902;838;838;1;25944
78607;1459930395758;"2016-04-06";52273;1846;1846;1;26343
82197;1460654927867;"2016-04-14";1782;1846;1846;1;26343
98508;1463114807789;"2016-05-13";3257;556;556;1;26387
42851;1460035316184;"2016-04-07";67418;241;482;2;26433
94185;1460414308527;"2016-04-12";19230;609;609;1;26905
80816;1456143185065;"2016-02-22";55131;1128;1128;1;27042
95505;1463054958119;"2016-05-12";84398;220;220;1;27368
65788;1453124234204;"2016-01-18";77464;335;335;1;27551
30083;1463215017820;"2016-05-14";58175;309;309;1;27719
95974;1459956932655;"2016-04-06";64361;885;885;1;27947
86808;1455519445228;"2016-02-15";82969;137;137;1;27987
39573;1460059051750;"2016-04-07";1244;2304;2304;1;28468
80506;1459685674006;"2016-04-03";81258;372;372;1;28641
83055;1458549468534;"2016-03-21";76812;760;760;1;28692
72687;1451510818301;"2015-12-31";1133;484;484;1;28734
4160;1464023818161;"2016-05-23";3802;362;362;1;29484
36069;1457952741665;"2016-03-14";31733;396;396;1;29510
470;1460481980060;"2016-04-12";76284;2435;2435;1;29681
87677;1459360298079;"2016-03-30";34806;553;1106;2;29771
50812;1453620124693;"2016-01-24";13703;838;838;1;29830
92540;1460029034863;"2016-04-07";10077;838;838;1;29830
62358;1460311791023;"2016-04-10";88017;290;290;1;30254
90498;1453417317731;"2016-01-22";4410;3397;3397;1;30520
96803;1461619570988;"2016-04-26";71407;340;340;1;30814
75267;1463075758722;"2016-05-12";91319;556;556;1;31145
41297;1459005667873;"2016-03-26";54769;116;116;1;31696
73249;1451066500680;"2015-12-25";19977;1105;1105;1;31914
80084;1459779133165;"2016-04-04";30376;1105;1105;1;31914
99082;1462943780238;"2016-05-11";66359;1105;1105;1;31914
36812;1458492840903;"2016-03-20";59877;2195;2195;1;32117
80894;1461000869844;"2016-04-18";12990;2195;2195;1;32117
72653;1455860920890;"2016-02-19";95984;355;355;1;32196
49012;1453489990153;"2016-01-22";39052;117;117;1;32200
46564;1460233283646;"2016-04-09";7214;1287;1287;1;32352
59045;1462382979941;"2016-05-04";33688;4182;4182;1;32386
97518;1459092855693;"2016-03-27";57081;1090;1090;1;32761
91433;1459092373864;"2016-03-27";98554;1389;1389;1;32890
28009;1461148717361;"2016-04-20";93748;231;462;2;33697
91015;1461209084432;"2016-04-21";94002;1458;1458;1;33839
38750;1462465281250;"2016-05-05";12807;1458;1458;1;33839
79612;1455209467440;"2016-02-11";35712;1675;1675;1;33947
9605;1462899339346;"2016-05-10";66414;1675;1675;1;33947
64513;1460550730958;"2016-04-13";71038;537;537;1;34538
79242;1460913323499;"2016-04-17";68510;1128;1128;1;34967
50854;1460790426676;"2016-04-16";63772;568;568;1;35284
50854;1460716878064;"2016-04-15";63772;568;568;1;35284
37951;1464025255347;"2016-05-23";61431;431;431;1;35336
68559;1458015210831;"2016-03-15";21908;1489;2978;2;35358
21567;1464508618021;"2016-05-29";20709;112;112;1;35366
60041;1452422177771;"2016-01-10";4099;962;962;1;35471
17042;1460561112550;"2016-04-13";43823;626;626;1;35491
96665;1460687369790;"2016-04-15";13295;241;241;1;35555
62597;1453090764605;"2016-01-18";81800;885;1770;2;35648
32286;1459582549032;"2016-04-02";27859;969;969;1;35900
5799;1452528626953;"2016-01-11";96198;254;254;1;36070
73287;1453020852806;"2016-01-17";91988;254;254;1;36070
49927;1464064845354;"2016-05-24";77191;315;315;1;36152
8994;1463294360096;"2016-05-15";95578;699;699;1;36749
63036;1456308656846;"2016-02-24";90224;820;820;1;37050
8625;1459062022795;"2016-03-27";55522;820;820;1;37050
22797;1460449055044;"2016-04-12";42965;820;820;1;37050
10608;1457111206875;"2016-03-04";11702;1687;1687;1;37175
27555;1464154712812;"2016-05-25";95314;1226;1226;1;37414
74404;1462950668178;"2016-05-11";27164;260;260;1;37533
48946;1453975240465;"2016-01-28";57363;263;263;1;37795
87918;1457859607164;"2016-03-13";7489;402;402;1;37892
26853;1462473328448;"2016-05-05";27193;326;326;1;37920
20070;1464435854179;"2016-05-28";67473;352;352;1;38092
17247;1455253403861;"2016-02-12";88284;331;331;1;38203
53496;1452956787688;"2016-01-16";13435;630;630;1;39058
41470;1453188820960;"2016-01-19";80175;630;630;1;39058
5711;1462851790728;"2016-05-10";97855;771;771;1;39115
49191;1460651693197;"2016-04-14";93246;375;375;1;39159
3709;1462447566768;"2016-05-05";91969;666;666;1;39164
50209;1454001759123;"2016-01-28";46222;3641;3641;1;39729
795;1460449365662;"2016-04-12";81357;4738;4738;1;39939
92986;1458019560923;"2016-03-15";26265;380;380;1;40704
37628;1458632707776;"2016-03-22";44458;380;380;1;40704
3909;1463053758022;"2016-05-12";99697;380;380;1;40704
86854;1462362784466;"2016-05-04";82055;455;455;1;40857
66967;1460526948289;"2016-04-13";92219;2610;2610;1;40912
83626;1460911796813;"2016-04-17";12992;2610;2610;1;40912
34738;1464716167692;"2016-05-31";20214;2610;2610;1;40912
56198;1458033625296;"2016-03-15";40083;2574;2574;1;40963
16566;1460032563979;"2016-04-07";63200;2574;2574;1;40963
20656;1460824418551;"2016-04-16";33873;2574;2574;1;40963
13485;1459267684562;"2016-03-29";86605;443;443;1;40968
83924;1456419592431;"2016-02-25";35763;340;340;1;41242
76884;1456647895204;"2016-02-28";51966;272;272;1;41356
36667;1452253185599;"2016-01-08";69838;443;443;1;41373
14242;1460531448612;"2016-04-13";94675;461;461;1;41378
14512;1461663327254;"2016-04-26";93696;699;699;1;41433
73101;1455949620420;"2016-02-20";99960;719;719;1;41437
48303;1455343652463;"2016-02-13";90547;644;644;1;41442
70345;1458280148419;"2016-03-18";35657;849;1698;2;41616
29025;1462180256895;"2016-05-02";48135;1252;1252;1;42352
45974;1457365827730;"2016-03-07";63964;372;372;1;43410
94185;1461862868216;"2016-04-28";48640;553;553;1;43425
94185;1462003707175;"2016-04-30";80897;553;553;1;43425
33305;1464110587748;"2016-05-24";29697;519;519;1;43506
23572;1451969742708;"2016-01-05";13080;396;396;1;43899
40303;1461582432726;"2016-04-25";71092;333;333;1;43976
15272;1445146692389;"2015-10-18";21984;80;80;1;43989
39997;1452613471244;"2016-01-12";34332;352;352;1;44242
57005;1461168194877;"2016-04-20";41211;855;855;1;44369
89949;1458186828159;"2016-03-17";20544;734;734;1;44443
88479;1462981137358;"2016-05-11";65054;519;2076;4;44929
15558;1462556288507;"2016-05-06";78152;383;1532;4;44977
47885;1461140633717;"2016-04-20";30403;617;617;1;45052
50135;1462993900172;"2016-05-11";53759;367;367;1;45429
83180;1463059468994;"2016-05-12";10397;385;385;1;45495
47318;1460901355921;"2016-04-17";8691;695;695;1;45566
5639;1460615176268;"2016-04-14";35440;2778;2778;1;46273
24197;1462777505326;"2016-05-09";48164;976;976;1;46820
25602;1456398669685;"2016-02-25";29202;803;803;1;48038
95897;1454762821364;"2016-02-06";18436;588;588;1;48060
30461;1463302662721;"2016-05-15";47101;826;826;1;48153
60023;1455599957880;"2016-02-16";79275;657;657;1;48157
96954;1449340387068;"2015-12-05";52928;449;449;1;48195
30207;1455903124853;"2016-02-19";12079;440;440;1;48238
90498;1453417317731;"2016-01-22";4410;311;311;1;48540
99658;1464190347674;"2016-05-25";34434;1710;1710;1;48698
27061;1463067547283;"2016-05-12";3813;362;362;1;48739
96347;1455180720847;"2016-02-11";60018;2665;2665;1;48812
23435;1461503270542;"2016-04-24";30221;879;879;1;49147
90131;1463341553258;"2016-05-15";39640;272;272;1;49390
57942;1461917123314;"2016-04-29";52140;843;843;1;49729
18135;1462197366472;"2016-05-02";43665;843;843;1;49729
64048;1464615433458;"2016-05-30";51068;843;843;1;49729
89733;1458992043110;"2016-03-26";38755;843;843;1;49729
53101;1458805873295;"2016-03-24";20883;79;158;2;49998
44134;1457623580487;"2016-03-10";54727;556;556;1;50164
27934;1462623326740;"2016-05-07";8794;1160;1160;1;50221
45724;1464673560732;"2016-05-31";58765;407;407;1;50404
19772;1459591032214;"2016-04-02";29576;2353;2353;1;50519
53700;1460575998886;"2016-04-13";41130;936;936;1;50524
80123;1457099950324;"2016-03-04";23409;3281;3281;1;50545
74847;1461677431629;"2016-04-26";31382;584;2336;4;50848
97538;1463032100186;"2016-05-12";37058;311;1244;4;50957
74467;1460666954991;"2016-04-14";66770;1193;1193;1;50990
67311;1461145962525;"2016-04-20";68881;269;269;1;51353
41675;1456936941934;"2016-03-02";55143;2241;2241;1;51364
11485;1458144001704;"2016-03-16";76526;2241;2241;1;51364
34414;1456937825106;"2016-03-02";47535;626;626;1;51791
77540;1461171830559;"2016-04-20";21738;626;626;1;51791
43414;1463731703262;"2016-05-20";58656;1235;1235;1;51975
67298;1452346482867;"2016-01-09";97181;333;333;1;52078
36010;1454319219967;"2016-02-01";34888;333;333;1;52078
41665;1461095175032;"2016-04-19";24233;474;474;1;52113
41148;1461771770948;"2016-04-27";72314;474;474;1;52113
82479;1463224860351;"2016-05-14";45205;474;474;1;52113
26404;1464121482580;"2016-05-24";74275;474;474;1;52113
12245;1463419161109;"2016-05-16";73524;124;124;1;52239
76267;1456812797416;"2016-03-01";50903;431;431;1;52398
87887;1457252841506;"2016-03-06";11454;320;320;1;52495
43227;1464171442650;"2016-05-25";23197;320;320;1;52495
61500;1459106846274;"2016-03-27";31390;2402;2402;1;52651
19078;1455875214261;"2016-02-19";72846;609;1218;2;52756
44970;1458555501007;"2016-03-21";29370;787;787;1;52985
60689;1461587970478;"2016-04-25";75324;1128;1128;1;53125
40898;1458203183349;"2016-03-17";3042;792;792;1;53183
44847;1464172611221;"2016-05-25";1309;393;7860;20;53294
6807;1461868916676;"2016-04-28";3983;1479;1479;1;53413
53494;1463292989168;"2016-05-15";40407;232;232;1;53623
36276;1464022919787;"2016-05-23";67010;232;232;1;53623
64098;1462250407452;"2016-05-03";34395;352;352;1;53691
74404;1462950668178;"2016-05-11";27164;498;498;1;53780
42849;1460116353843;"2016-04-08";70110;803;3212;4;53837
76265;1463852091661;"2016-05-21";21994;5442;5442;1;53872
41964;1463899548692;"2016-05-22";18605;5442;5442;1;53872
23085;1453991634123;"2016-01-28";39122;124;124;1;54082
49935;1461086643765;"2016-04-19";93024;838;838;1;54222
71949;1460290012513;"2016-04-10";83854;288;288;1;54335
44608;1461214675710;"2016-04-21";25938;288;288;1;54335
18410;1464187550320;"2016-05-25";85903;317;1268;4;54364
67742;1455634767136;"2016-02-16";36177;635;635;1;54473
45347;1456288002295;"2016-02-24";54651;324;324;1;54650
32889;1464322193432;"2016-05-27";87755;350;700;2;54704
52523;1461868931337;"2016-04-28";10041;2557;2557;1;54720
42529;1462013483718;"2016-04-30";77488;495;495;1;54934
80333;1461005499547;"2016-04-18";49944;873;873;1;55057
17781;1457452312000;"2016-03-08";8424;187;748;4;55460
28930;1455962695380;"2016-02-20";25537;949;949;1;55562
49105;1457534288048;"2016-03-09";4396;537;537;1;55625
9156;1457891024495;"2016-03-13";14012;537;537;1;55625
81460;1456914952432;"2016-03-02";547;422;422;1;56250
22092;1460898174400;"2016-04-17";78308;422;422;1;56250
2975;1461776465625;"2016-04-27";88670;214;214;1;56357
18665;1462632825033;"2016-05-07";58892;4973;4973;1;56359
84031;1458141229763;"2016-03-16";71732;719;719;1;56378
58887;1460433236213;"2016-04-12";49830;729;729;1;56687
40552;1455352347035;"2016-02-13";1787;3281;3281;1;56941
33291;1455634820728;"2016-02-16";70583;3281;3281;1;56941
16284;1455974113885;"2016-02-20";23617;982;982;1;56955
97106;1464148931331;"2016-05-25";95329;826;826;1;57092
35840;1463935094669;"2016-05-22";48034;391;391;1;57106
6347;1462888308179;"2016-05-10";86854;4771;4771;1;57278
8123;1456686342374;"2016-02-28";31173;326;326;1;57321
84349;1459175093975;"2016-03-28";19084;247;247;1;57375
36342;1461852298342;"2016-04-28";45969;333;333;1;57495
88183;1459314487598;"2016-03-30";72960;1448;1448;1;57604
44914;1460174876431;"2016-04-09";12691;1448;1448;1;57604
48825;1463298878057;"2016-05-15";18406;1448;1448;1;57604
35857;1456862667197;"2016-03-01";94432;1448;1448;1;57604
17416;1459847535326;"2016-04-05";1840;416;416;1;57863
39377;1457171112896;"2016-03-05";25920;413;413;1;58131
88009;1464624751237;"2016-05-30";46908;1160;1160;1;58287
17530;1462608364042;"2016-05-07";50054;910;910;1;58526
17530;1462610926340;"2016-05-07";42284;910;910;1;58526
64999;1453913397769;"2016-01-27";82840;549;1098;2;58662
64999;1456582510762;"2016-02-27";28288;549;549;1;58662
87584;1452588014003;"2016-01-12";82020;365;365;1;58803
11757;1457192370591;"2016-03-05";57716;201;201;1;59259
89733;1458992043110;"2016-03-26";38755;201;201;1;59259
26794;1461576306434;"2016-04-25";94464;201;402;2;59259
43455;1462332581779;"2016-05-04";83485;201;201;1;59259
